Gene,Description,BLAST_hit
Bo00751s060,Probable acyl-activating enzyme 17 peroxisomal (EC 6.2.1.-),AAE17 At5g23050 MYJ24.4
Bo00751s090,Methylthioalkylmalate synthase 1 chloroplastic (EC 2.3.3.17) (2-isopropylmalate synthase 3),MAM1 IMS3 IPMS_AT2 MAM-L MAML At5g23010 T20O7.3
Bo00751s100,Methylthioalkylmalate synthase 1 chloroplastic (EC 2.3.3.17) (2-isopropylmalate synthase 3),MAM1 IMS3 IPMS_AT2 MAM-L MAML At5g23010 T20O7.3
Bo00758s050,Disease resistance-like protein DSC2 (Protein DOMINANT SUPRESSOR OF CAMTA3 NUMBER 2),DSC2 At5g18370
Bo00758s110,Putative disease resistance protein At4g10780,At4g10780 T12H20.8
Bo00763s030,,
Bo00763s130,,
Bo00766s050,,
Bo00766s060,,
Bo00779s030,Probable histone H2A.1 (HTA10),At1g51060 F23H24.9
Bo00792s020,,
Bo00792s040,Thioredoxin Y2 chloroplastic (AtTrxy2),At1g43560 T10P12.4
Bo00802s030,Pentatricopeptide repeat-containing protein At3g60960 mitochondrial,At3g60960 T27I15_50
Bo00816s010,Chaperone protein dnaJ 16 (AtDjB16) (AtJ16) (Protein ARG1-LIKE 1) (AtARL1),ATJ16 ARL1 B16 At1g24120 F3I6.4
Bo00828s040,,
Bo00828s050,,
Bo00837s070,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),GLY I
Bo00851s060,Alpha/beta hydrolase domain-containing protein 17C (Abhydrolase domain-containing protein 17C) (EC 3.1.2.22),abhd17c zgc:55468
Bo00851s110,,
Bo00852s050,Aldehyde oxidase GLOX1 (EC 1.2.3.1) (Glyoxal oxidase 1),GLOX1 At1g67290 F1N21.11
Bo00858s050,,
Bo00866s030,Protein STRICTOSIDINE SYNTHASE-LIKE 8 (AtSSL8) (Strictosidine synthase 5) (AtSS5),SSL8 SS5 At3g57010 F24I3.90
Bo00877s070,Phenolic glucoside malonyltransferase 2 (EC 2.3.1.-),PMAT2 At3g29670 MOD1_4
Bo00884s010,,
Bo00898s030,Probable methyltransferase PMT3 (EC 2.1.1.-),At4g14360 dl3220c FCAALL.222
Bo00915s020,ERAD-associated E3 ubiquitin-protein ligase component HRD3A (AtSel1A) (Protein EMS-MUTAGENIZED BRI1 SUPPRESSOR 5),HRD3A EBS5 At1g18260 T10O22.22
Bo00915s030,,
Bo00920s030,,
Bo00924s040,,
Bo00926s030,Zinc finger CCCH domain-containing protein 24 (AtC3H24) (EC 2.1.1.-),At2g28450 T1B3.3
Bo00927s060,Ribosomal RNA-processing protein 8 (EC 2.1.1.-),At5g40530 MNF13.4
Bo00934s010,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo00934s080,,
Bo00935s010,Thymidylate kinase (AtTMPK) (EC 2.7.4.9) (Protein ZEUS1),ZEU1 At5g59440
Bo00935s020,Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Bile acid beta-glucosidase GBA2) (Bile acid glucosyl transferase GBA2) (Cholesterol glucosyltransferase GBA2) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase GBA2) (EC 3.2.1.104) (Glucosylceramidase 2),Gba2 Kiaa1605
Bo00950s010,,
Bo00950s050,Nudix hydrolase 25 (AtNUDT25) (EC 3.6.1.17) (Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)),NUDT25 NUDX25 At1g30110 T2H7.9
Bo00951s030,DNA-directed RNA polymerase II subunit 2 (DNA-directed RNA polymerase II 135 kDa polypeptide) (DNA-directed RNA polymerase II subunit RPB2) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2) (EC 2.7.7.6) (Protein EMBRYO DEFECTIVE 1989),NRPB2 EMB1989 RP140 RPB135 RPB2 At4g21710 F17L22.170
Bo00951s040,Importin beta-like SAD2 homolog,At3g59020 F17J16.70
Bo00958s060,50S ribosomal protein L27,rpmA BT_0152
Bo00969s060,,
Bo00984s010,,
Bo01006s010,Acyl-CoA-binding protein (ACBP),
Bo01011s010,Expansin-A10 (AtEXPA10) (Alpha-expansin-10) (At-EXP10) (AtEx10) (Ath-ExpAlpha-1.1),EXPA10 EXP10 At1g26770 T24P13.15 T24P13_14
Bo01026s020,Salicylic acid-binding protein 2 (NtSABP2) (EC 3.1.1.-) (Methyl salicylate esterase),SABP2
Bo01033s020,Cyclin-dependent kinase B2-2 (CDKB2;2) (EC 2.7.11.22) (EC 2.7.11.23),CDKB2-2 At1g20930 F9H16.8
Bo01041s030,,
Bo01042s030,Probable glucose-1-phosphate adenylyltransferase large subunit chloroplastic (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADP-glucose synthase) (AGPase S) (Alpha-D-glucose-1-phosphate adenyl transferase),At2g21590 F2G1.14
Bo01042s040,,
Bo01050s010,Phosphoglucan water dikinase chloroplastic (EC 2.7.9.5),GWD3 OK1 PWD At5g26570 F9D12.1 F9D12.19
Bo01051s050,13-hydroxylupanine O-tigloyltransferase (EC 2.3.1.93) ((-)-13alpha-hydroxymultiflorine/(+)-13alpha-hydroxylupanine O-tigloyltransferase) (HMT/HLTase) (Quinolizidine alkaloid O-tigloyltransferase),HMT/HLT
Bo01057s060,,
Bo01091s010,,
Bo01096s020,,
Bo01097s040,CDPK-related kinase 4 (AtCRK4) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase CRK4),CRK4 CP4 At5g24430 K16H17.14
Bo01100s020,Homeobox-leucine zipper protein HDG11 (HD-ZIP protein HDG11) (Homeodomain GLABRA 2-like protein 11) (Homeodomain transcription factor HDG11) (Protein ENHANCED DROUGHT TOLERANCE 1) (Protein HOMEODOMAIN GLABROUS 11),HDG11 EDT1 HDGL2-11 At1g73360 T9L24.43
Bo01108s030,,
Bo01113s030,Probable indole-3-pyruvate monooxygenase YUCCA10 (EC 1.14.13.168) (Flavin-containing monooxygenase YUCCA10),YUC10 YUCCA10 At1g48910 F27K7.7
Bo01121s020,,
Bo01124s020,,
Bo01128s020,,
Bo01160s010,Calcium sensing receptor chloroplastic (Sulfurtransferase 3) (AtStr3),CAS STR3 At5g23060 MYJ24.5
Bo01170s020,Aquaporin PIP2-1 (Plasma membrane intrinsic protein 2-1) (AtPIP2;1) (Plasma membrane intrinsic protein 2a) (PIP2a),PIP2-1 PIP2A At3g53420 F4P12.120
Bo01175s010,Type IV inositol polyphosphate 5-phosphatase 3 (At5PTase3) (EC 3.1.3.36) (EC 3.1.3.86),IP5P3 At1g71710 F14O23_9 F26A9.1
Bo01175s020,,
Bo01178s020,Calcium-binding protein CML42 (Calmodulin-like protein 42),CML42 At4g20780 F21C20.130
Bo01198s030,,
Bo01203s020,Splicing factor U2af large subunit B (U2 auxiliary factor 65 kDa subunit B) (U2 small nuclear ribonucleoprotein auxiliary factor large subunit B) (U2 snRNP auxiliary factor large subunit B),U2AF65B At1g60900 T7P1.5
Bo01210s030,,
Bo01235s020,,
Bo01246s010,,
Bo01279s020,50S ribosomal protein L36,rpmJ Pmob_0766
Bo01280s030,,
Bo01298s010,,
Bo01306s020,,
Bo01339s010,Methionine--tRNA ligase cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS),At4g13780 F18A5.170
Bo01362s010,Hexokinase-3 (EC 2.7.1.1),At1g50460 F11F12.18
Bo01390s020,,
Bo01390s050,Protein GLE1 (AtGLE1) (Protein EMBRYO DEFECTIVE 1745),GLE1 EMB1745 At1g13120 F3F19.14
Bo01392s020,,
Bo01449s020,Acid phosphatase 1 (EC 3.1.3.2) (Apase-1(1)),APS1 APS-1(1)
Bo01451s030,Pectin acetylesterase 2 (EC 3.1.1.-),PAE2 At1g57590 T8L23.6
Bo01463s020,Beta-glucosidase 3 (AtBGLU3) (EC 3.2.1.21),BGLU3 At4g22100 F1N20.200
Bo01477s010,,
Bo01916s010,Cytidine deaminase 1 (At-CDA1) (EC 3.5.4.5),CDA1 CDD DESZ At2g19570 F3P11
Bo02174s010,Peroxisomal isocitrate dehydrogenase [NADP] (EC 1.1.1.42),ICDH At1g54340 F20D21.16
Bo02274s010,Ras-related protein Rab-7A,rab7A rab7 DDB_G0269236
Bo02309s010,,
Bo02670s010,Protein NRT1/ PTR FAMILY 2.3 (AtNPF2.3) (Probable nitrate excretion transporter 3) (Protein NAXT1-like 2),NPF2.3 At3g45680 T6D9.10
Bo02821s010,Pectinesterase/pectinesterase inhibitor 3 [Includes: Pectinesterase inhibitor 3 (Pectin methylesterase inhibitor 3); Pectinesterase 3 (PE 3) (EC 3.1.1.11) (Pectin methylesterase 27) (AtPME27) (Pectin methylesterase 3)],PME3 ARATH27 At3g14310 MLN21.10
Bo02888s010,DNA repair protein RAD5A (EC 3.6.4.-) (Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 2) (SMARCA3-like protein 2) (RAD5 homolog A) (AtRAD5a),RAD5A RAD5 At5g22750 MDJ22.17
Bo03121s010,Glycine-rich RNA-binding protein 2 mitochondrial (AtGR-RBP2) (AtRBG2) (Glycine-rich protein 2) (AtGRP2) (Mitochondrial RNA-binding protein 1a) (At-mRBP1a),RBG2 GR-RBP2 GRP2 MRBP1A At4g13850 F18A5.240
Bo03856s010,Agamous-like MADS-box protein AGL70 (MADS box FLC1-like nuclear protein 3) (Protein AGAMOUS-like 70) (Protein MADS AFFECTING FLOWERING 3),AGL70 FCL3 MAF3 At5g65060 F15O5.2
Bo03984s010,Heterogeneous nuclear ribonucleoprotein 1 (hnRNP1),RNP1 At4g14300 dl3190w FCAALL.156
Bo04370s010,Probable tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein osgep) (tRNA threonylcarbamoyladenosine biosynthesis protein osgep),osgep DDB_G0267512
Bo04491s010,RuBisCO large subunit-binding protein subunit alpha chloroplastic (60 kDa chaperonin subunit alpha) (CPN-60 alpha) (Fragment),
Bo04593s010,,
Bo04926s010,,
Bo05048s010,,
Bo05984s010,Transcription initiation factor IIF subunit alpha (TFIIF-alpha) (General transcription factor IIF subunit 1) (Transcription initiation factor RAP74 homolog) (AtRAP74),RAP74 TF2Falpha At4g12610 T1P17.200
Bo06089s010,,
Bo06492s010,Lipoxygenase 2 chloroplastic (AtLOX2) (EC 1.13.11.12),LOX2 At3g45140 T14D3.80
Bo06511s010,,
Bo07665s010,Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1),EARLI1 At4g12480 T1P17.70
Bo08354s010,,
Bo08478s010,Expansin-A4 (AtEXPA4) (Alpha-expansin-4) (At-EXP4) (AtEx4) (Ath-ExpAlpha-1.6),EXPA4 EXP4 At2g39700 F17A14.7
Bo10610s010,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)],ENPP3
Bo11710s010,,
Bo12274s010,Homeobox-leucine zipper protein HAT7 (HD-ZIP protein ATHB-3) (Homeodomain transcription factor ATHB-3) (Homeodomain-leucine zipper protein HAT7) (HD-ZIP protein 7),HAT7 ATHB-3 At5g15150 F8M21_40
Bo13088s010,,
Bo13142s010,,
Bo14909s010,,
Bo14975s010,,
Bo15774s010,Alpha-glucan water dikinase 2 (EC 2.7.9.4),GWD2 At4g24450 T22A6.280
Bo17064s010,,
Bo17109s010,Phenolic glucoside malonyltransferase 1 (EC 2.3.1.-),PMAT1 At5g39050 MXF12.60
Bo17221s010,,
Bo17668s010,,
Bo1g001010,Amino acid transporter AVT3C (AtAvt3C) (Aromatic and neutral amino acid transporter-like protein 2),AVT3C At4g38250 F22I13.20
Bo1g002240,V-type proton ATPase subunit c1 (V-ATPase subunit c1) (V-type proton ATPase 16 kDa proteolipid subunit c1) (V-ATPase 16 kDa proteolipid subunit c1) (Vacuolar H(+)-ATPase subunit c isoform 1) (Vacuolar proton pump 16 kDa proteolipid subunit c1) (Vacuolar proton pump subunit c1),VHA-c1 AVA-P1 AVAP1 At4g34720 T4L20.300
Bo1g002450,Protein RADIALIS-like 1 (AtRL1) (Protein RAD-like 1) (Protein RADIALIS-LIKE SANT/MYB 2) (Protein RSM2),RL1 RSM2 At4g39250 T22F8.150
Bo1g003410,Cysteine protease XCP2 (EC 3.4.22.-) (Xylem cysteine peptidase 2) (AtXCP2),XCP2 At1g20850 F2D10.37 F9H16.17
Bo1g005040,Heat stress transcription factor B-1 (AtHsfB1) (AtHsf-16) (Heat shock factor protein 4) (HSF 4) (Heat shock transcription factor 4) (HSTF 4),HSFB1 HSF16 HSF4 At4g36990 C7A10.370
Bo1g005420,Aminopeptidase P1 (AtAPP1) (EC 3.4.11.9),APP1 At4g36760 AP22.64 C7A10.600
Bo1g005490,Probable polyol transporter 6,PLT6 At4g36670 AP22.86 C7A10.690
Bo1g005550,,
Bo1g005570,Protein RADIALIS-like 3 (AtRL3) (Protein RAD-like 3),RL3 At4g36570 AP22.24 C7A10.790
Bo1g005840,Thioredoxin-like protein HCF164 chloroplastic (Protein HIGH CHLOROPHYLL FLUORESCENCE 164),HCF164 At4g37200 C7A10.160
Bo1g005850,F-box protein At1g30790,At1g30790 T17H7.6
Bo1g005890,,
Bo1g005970,Transcription factor bHLH11 (Basic helix-loop-helix protein 11) (AtbHLH11) (bHLH 11) (Transcription factor EN 137) (bHLH transcription factor bHLH011),BHLH11 EN137 At4g36060 T19K4.190
Bo1g005980,DNA-(apurinic or apyrimidinic site) lyase 2 (EC 4.2.99.18) (Apurinic-apyrimidinic endonuclease 2),APE2 At4g36050 T19K4.180
Bo1g006740,Catalase-2 (EC 1.11.1.6),CAT2 CAT At4g35090 M4E13.140
Bo1g006880,Xanthine dehydrogenase 1 (AtXDH1) (EC 1.17.1.4),XDH1 At4g34890 T11I11.130
Bo1g007010,Arginine decarboxylase 2 (ADC 2) (ARGDC 2) (AtADC2) (EC 4.1.1.19) (ADC-N),ADC2 SPE2 At4g34710 T4L20.290
Bo1g007020,Arginine decarboxylase 2 (ADC 2) (ARGDC 2) (AtADC2) (EC 4.1.1.19) (ADC-N),ADC2 SPE2 At4g34710 T4L20.290
Bo1g007160,Bifunctional dihydrofolate reductase-thymidylate synthase 2 (DHFR-TS 2) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)],THY-2 At4g34570 T4L20.150
Bo1g007370,eEF1A lysine and N-terminal methyltransferase (Methyltransferase-like protein 13) [Includes: eEF1A lysine methyltransferase (EC 2.1.1.-); eEF1A N-terminal methyltransferase (EC 2.1.1.-)],eef1aknmt mettl13
Bo1g007710,,
Bo1g007850,Ras-related protein RABA5a (AtRABA5a),RABA5A At5g47520 MNJ7.11
Bo1g007930,LL-diaminopimelate aminotransferase chloroplastic (AtDAP-AT) (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83) (Protein ABERRANT GROWTH AND DEATH 2),DAP AGD2 At4g33680 T16L1.170
Bo1g007940,,
Bo1g008070,Probable protein phosphatase 2C 62 (AtPP2C62) (EC 3.1.3.16),At4g33500 F17M5.260
Bo1g008530,Calcineurin B-like protein 10 (SOS3-like calcium binding protein 8) (SCaBP8),CBL10 At4g33000 F26P21_120
Bo1g008570,,
Bo1g008670,,
Bo1g009820,,
Bo1g009900,Serine/threonine-protein kinase Aurora-1 (AtAur1) (EC 2.7.11.1) (Aurora-like kinase 1),AUR1 At4g32830 T16I18.40
Bo1g010240,E3 ubiquitin-protein ligase At1g12760 (EC 2.3.2.27) (RING finger protein At1g12760) (RING-type E3 ubiquitin transferase At1g12760),At1g12760 T12C24.29
Bo1g010800,60S ribosomal protein L39-1,RPL39A At2g25210 T22F11.20; RPL39C At4g31985 F10N7.2 F11C18.17
Bo1g011090,Putative B3 domain-containing protein REM4 (Protein REPRODUCTIVE MERISTEM 4),REM4 At4g31630 F28M20.180
Bo1g011310,UPF0725 protein At2g20620,At2g20620 F23N11.6
Bo1g011840,Serine carboxypeptidase-like 29 (EC 3.4.16.-),SCPL29 At4g30810 F6I18.280 T10C21.3
Bo1g011910,AUGMIN subunit 8 (QWRF motif-containing protein 8) (ROP1 enhancer 2),AUG8 QWRF8 REN2 At4g30710 T10C21.60
Bo1g011940,Protein HEAT-INDUCED TAS1 TARGET 1,HTT1 At4g29770 F27B13.10
Bo1g014340,Xyloglucan endotransglucosylase/hydrolase protein 24 (At-XTH24) (XTH-24) (EC 2.4.1.207) (Endo-xyloglucan transferase) (Meristem protein 5) (MERI-5 protein) (MERI5 protein) (Xyloglucan endo-14-beta-D-glucanase),XTH24 MERI-5 MERI5B SEN4 At4g30270 F9N11.120
Bo1g014400,NADPH--cytochrome P450 reductase 2 (CPR 2) (P450R 2) (EC 1.6.2.4),ATR2 AR2 At4g30210 F9N11.60
Bo1g014580,,
Bo1g014940,Mitogen-activated protein kinase kinase 2 (AtMAP2Kbeta) (AtMKK2) (MAP kinase kinase 2) (EC 2.7.12.2),MKK2 MAP2K MK1 At4g29810 F27B13.50
Bo1g016420,40S ribosomal protein S30,RPS30A At2g19750 F6F22.22; RPS30B At4g29390 F17A13.210; RPS30C At5g56670 MIK19.12
Bo1g016550,,
Bo1g016610,Pyridoxal phosphate homeostasis protein (PLP homeostasis protein),YBL036C YBL0413
Bo1g017060,Methyltransferase-like protein 5 (EC 2.1.1.-),Mettl5
Bo1g017120,GDSL esterase/lipase At4g28780 (EC 3.1.1.-) (Extracellular lipase At4g28780),At4g28780 F16A16.110
Bo1g017730,FCS-Like Zinc finger 2,FLZ2 DUF581-12 At4g17670 dl4870c FCAALL.414
Bo1g019640,,
Bo1g021970,Bifunctional aspartokinase/homoserine dehydrogenase 2 chloroplastic (AK-HD 2) (AK-HSDH 2) (Beta-aspartyl phosphate homoserine 2) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],AKHSDH2 AK-HSDH II At4g19710 T16H5.70
Bo1g022250,Putative cytochrome P450 71A28 (EC 1.14.-.-),CYP71A28 At4g20235 F1C12.160
Bo1g022260,Cytochrome P450 71A27 (EC 1.14.-.-),CYP71A27 At4g20240 F1C12.160
Bo1g022290,Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM3 (EC 2.7.11.1) (Protein BARELY ANY MERISTEM 3),BAM3 At4g20270 F1C12.190
Bo1g023780,,
Bo1g024350,,
Bo1g024440,,
Bo1g025550,Tobamovirus multiplication protein 1 (AtTOM1),TOM1 PD114 At4g21790 F17L22.250
Bo1g025880,L-ascorbate oxidase homolog (EC 1.10.3.-),Bp10
Bo1g028320,,
Bo1g028330,Cyclin-D3-2 (G1/S-specific cyclin-D3-2) (CycD3;2),CYCD3-2 At5g67260 K3G17.2
Bo1g028540,39-dihydroxypterocarpan 6A-monooxygenase (EC 1.14.14.93) (Cytochrome P450 93A1) (Dihydroxypterocarpan 6a-hydroxylase) (D6aH),CYP93A1 Glyma03g29950
Bo1g030660,,
Bo1g031850,Cysteine-rich receptor-like protein kinase 11 (Cysteine-rich RLK11) (EC 2.7.11.-) (Receptor-like protein kinase 3),CRK11 RLK3 At4g23190 F21P8.80
Bo1g032000,Coatomer subunit alpha-1 (Alpha-coat protein 1) (Alpha-COP 1),At1g62020 F8K4.21
Bo1g033110,Pathogenesis-related protein R major form (Thaumatin-like protein E22),
Bo1g034390,Cysteine-rich receptor-like protein kinase 24 (Cysteine-rich RLK24) (EC 2.7.11.-),CRK24 At4g23320 F16G20.20 F21P8.210
Bo1g034460,,
Bo1g035740,,
Bo1g037040,MLP-like protein 328,MLP328 At2g01520 F2I9.14
Bo1g037090,Dirigent protein 6 (AtDIR6),DIR6 At4g23690 F9D16.160
Bo1g037720,SNF1-related protein kinase regulatory subunit beta-2 (AKIN subunit beta-2) (AKINB2) (AKINbeta2),KINB2 At4g16360 dl4210w FCAALL.163
Bo1g037800,Protein TIC110 chloroplastic (Translocon at the inner envelope membrane of chloroplasts 110) (AtTIC110),TIC110 At1g06950 F10K1.33 F4H5.1
Bo1g037810,Endoglucanase 21 (EC 3.2.1.4) (Endo-14-beta glucanase 21),KOR3 At4g24260 T22A6.90
Bo1g039090,Polyadenylate-binding protein-interacting protein 6 (PABP-interacting protein 6) (Poly(A)-binding protein-interacting protein 6) (PAM2-containing protein CID6) (Protein CTC-INTERACTING DOMAIN 6),CID6 IPH1 At5g25540 T14C9.80
Bo1g039130,Mitochondrial uncoupling protein 4 (AtPUMP4) (Mitochondrial dicarboxylate carrier 2),PUMP4 DIC2 UCP4 At4g24570 F22K18.230
Bo1g039210,Zinc-finger homeodomain protein 2 (AtZHD2) (Homeobox protein 22) (AtHB-22) (Protein MATERNAL EFFECT EMBRYO ARREST 68),ZHD1 HB22 MEE68 At4g24660 F22K18.140
Bo1g039260,High-affinity nitrate transporter 3.2,NRT3.2 At4g24715 F22K18.80
Bo1g039900,BRCA1-associated RING domain protein 1 (AtBARD1) (Protein REPRESSOR OF WUSCHEL 1),BARD1 ROW1 At1g04020 F21M11.4
Bo1g039960,,
Bo1g040050,,
Bo1g040230,Serine/arginine-rich splicing factor RS40 (At-RSp40) (AtRS40),RS40 RSP35 RSP40 At4g25500 M7J2.130
Bo1g040340,Uncharacterized protein At1g76660,At1g76660 F28O16.3
Bo1g041750,,
Bo1g045300,Uncharacterized protein At4g26485,At4g26485 M3E9.90
Bo1g045330,Uridine kinase-like protein 4 [Includes: Uridine kinase (UK) (EC 2.7.1.48); Putative uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9) (UMP pyrophosphorylase)],UKL4 UPT1 At4g26510 M3E9.60
Bo1g046400,F-box protein At1g30790,At1g30790 T17H7.6
Bo1g046560,Glutamate--tRNA ligase cytoplasmic (EC 6.1.1.17) (GluRSAt) (Glutamyl-tRNA synthetase) (GluRS),At5g26710 F21E10.12
Bo1g047860,Fatty acid desaturase 4 chloroplastic (EC 1.14.19.43) (Fatty acid desaturase A),FAD4 FADA At4g27030 F10M23.370
Bo1g047970,Napin (1.7S seed storage protein) [Cleaved into: Napin small chain; Napin large chain],NAP1
Bo1g048320,,
Bo1g049440,,
Bo1g049450,Early nodulin-like protein 2 (Phytocyanin-like protein),At4g27520 T29A15.10
Bo1g050680,Cold shock domain-containing protein 3 (AtCSP3),CSP3 At2g17870 T13L16.11
Bo1g050910,,
Bo1g050960,,
Bo1g051040,Transcription factor TRY (Protein TRIPTYCHON),TRY At5g53200 MFH8.14
Bo1g051280,,
Bo1g051290,,
Bo1g051420,Asparagine synthetase [glutamine-hydrolyzing] 3 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 3),ASN3 At5g10240 F18D22.10 T31P16.230
Bo1g051840,Retrovirus-related Pol polyprotein from transposon RE2 (Retro element 2) (AtRE2) [Includes: Protease RE2 (EC 3.4.23.-); Reverse transcriptase RE2 (EC 2.7.7.49); Endonuclease RE2],RE2 At4g02960 T4I9.16
Bo1g052890,,
Bo1g052920,Glucan endo-13-beta-glucosidase 6 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 6) ((1->3)-beta-glucanase 6) (Beta-13-endoglucanase 6) (Beta-13-glucanase 6),At5g58090 K21L19.12 K21L19_70
Bo1g053110,RGG repeats nuclear RNA binding protein A (AtRGGA),RGGA At4g16830 dl4440w FCAALL.13
Bo1g053390,Mitochondrial inner membrane protein OXA1-like,OXA1L At2g46470 F11C10.16
Bo1g053450,Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH8 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP2),At4g16680 dl4365c FCAALL.3
Bo1g054820,,
Bo1g054830,,
Bo1g055010,,
Bo1g055030,Cellulose synthase A catalytic subunit 6 [UDP-forming] (AtCesA6) (EC 2.4.1.12) (AraxCelA) (Isoxaben-resistant protein 2) (Protein PROCUSTE 1) (Protein QUILL),CESA6 IXR2 PRC1 QUI At5g64740 MVP7.7
Bo1g055040,Outer envelope pore protein 16-2 chloroplastic (Chloroplastic outer envelope pore protein of 16 kDa 2) (AtOEP16-2) (OEP16-2) (Outer plastid envelope protein 16-S) (AtOEP16-S) (Seeds outer plastid envelope protein 16),OEP162 At4g16160 dl4120w FCAALL.207
Bo1g055080,,
Bo1g055190,Histidine kinase 3 (EC 2.7.13.3) (Arabidopsis histidine kinase 3) (AtHK3) (Protein AUTHENTIC HIS-KINASE 3) (Protein ORESARA 12),AHK3 ORE12 At1g27320 F17L21.11
