Gene,Description,BLAST_hit
Bo03856s010,Agamous-like MADS-box protein AGL70 (MADS box FLC1-like nuclear protein 3) (Protein AGAMOUS-like 70) (Protein MADS AFFECTING FLOWERING 3),AGL70 FCL3 MAF3 At5g65060 F15O5.2
Bo03984s010,Heterogeneous nuclear ribonucleoprotein 1 (hnRNP1),RNP1 At4g14300 dl3190w FCAALL.156
Bo04491s010,RuBisCO large subunit-binding protein subunit alpha chloroplastic (60 kDa chaperonin subunit alpha) (CPN-60 alpha) (Fragment),
Bo05008s010,Sphinganine C4-monooxygenase 1 (EC 1.14.18.5) (Sphingoid C4-hydroxylase 1) (Sphingoid base hydroxylase 1),SBH1 At1g69640 F24J1.22 T6C23.16
Bo05048s010,,
Bo05589s010,Glycine-rich RNA-binding protein 2 mitochondrial (AtGR-RBP2) (AtRBG2) (Glycine-rich protein 2) (AtGRP2) (Mitochondrial RNA-binding protein 1a) (At-mRBP1a),RBG2 GR-RBP2 GRP2 MRBP1A At4g13850 F18A5.240
Bo05984s010,Transcription initiation factor IIF subunit alpha (TFIIF-alpha) (General transcription factor IIF subunit 1) (Transcription initiation factor RAP74 homolog) (AtRAP74),RAP74 TF2Falpha At4g12610 T1P17.200
Bo06089s010,,
Bo06511s010,,
Bo07119s010,,
Bo08354s010,,
Bo08478s010,Expansin-A4 (AtEXPA4) (Alpha-expansin-4) (At-EXP4) (AtEx4) (Ath-ExpAlpha-1.6),EXPA4 EXP4 At2g39700 F17A14.7
Bo09730s010,,
Bo11710s010,,
Bo12274s010,Homeobox-leucine zipper protein HAT7 (HD-ZIP protein ATHB-3) (Homeodomain transcription factor ATHB-3) (Homeodomain-leucine zipper protein HAT7) (HD-ZIP protein 7),HAT7 ATHB-3 At5g15150 F8M21_40
Bo13142s010,,
Bo15774s010,Alpha-glucan water dikinase 2 (EC 2.7.9.4),GWD2 At4g24450 T22A6.280
Bo1g002240,V-type proton ATPase subunit c1 (V-ATPase subunit c1) (V-type proton ATPase 16 kDa proteolipid subunit c1) (V-ATPase 16 kDa proteolipid subunit c1) (Vacuolar H(+)-ATPase subunit c isoform 1) (Vacuolar proton pump 16 kDa proteolipid subunit c1) (Vacuolar proton pump subunit c1),VHA-c1 AVA-P1 AVAP1 At4g34720 T4L20.300
Bo1g002960,Adenylyl-sulfate kinase 2 chloroplastic (EC 2.7.1.25) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase 2) (Adenosine-5'-phosphosulfate kinase 2) (APS kinase 2),APK2 AKN2 At4g39940 T5J17.110
Bo1g005040,Heat stress transcription factor B-1 (AtHsfB1) (AtHsf-16) (Heat shock factor protein 4) (HSF 4) (Heat shock transcription factor 4) (HSTF 4),HSFB1 HSF16 HSF4 At4g36990 C7A10.370
Bo1g005550,,
Bo1g005570,Protein RADIALIS-like 3 (AtRL3) (Protein RAD-like 3),RL3 At4g36570 AP22.24 C7A10.790
Bo1g005850,F-box protein At1g30790,At1g30790 T17H7.6
Bo1g005970,Transcription factor bHLH11 (Basic helix-loop-helix protein 11) (AtbHLH11) (bHLH 11) (Transcription factor EN 137) (bHLH transcription factor bHLH011),BHLH11 EN137 At4g36060 T19K4.190
Bo1g005980,DNA-(apurinic or apyrimidinic site) lyase 2 (EC 4.2.99.18) (Apurinic-apyrimidinic endonuclease 2),APE2 At4g36050 T19K4.180
Bo1g007370,eEF1A lysine and N-terminal methyltransferase (Methyltransferase-like protein 13) [Includes: eEF1A lysine methyltransferase (EC 2.1.1.-); eEF1A N-terminal methyltransferase (EC 2.1.1.-)],eef1aknmt mettl13
Bo1g008570,,
Bo1g008670,,
Bo1g008710,,
Bo1g008770,,
Bo1g008790,,
Bo1g008800,,
Bo1g008820,,
Bo1g009820,,
Bo1g009840,Ras-related protein RABA5c (AtRABA5c) (Ras-related protein Ara-4) (Ras-related protein Rab11F) (AtRab11F),RABA5C ARA-4 RAB11F At2g43130 F14B2.7
Bo1g009900,Serine/threonine-protein kinase Aurora-1 (AtAur1) (EC 2.7.11.1) (Aurora-like kinase 1),AUR1 At4g32830 T16I18.40
Bo1g009980,Thioredoxin-like protein HCF164 chloroplastic (Protein HIGH CHLOROPHYLL FLUORESCENCE 164),HCF164 At4g37200 C7A10.160
Bo1g010800,60S ribosomal protein L39-1,RPL39A At2g25210 T22F11.20; RPL39C At4g31985 F10N7.2 F11C18.17
Bo1g011940,Protein HEAT-INDUCED TAS1 TARGET 1,HTT1 At4g29770 F27B13.10
Bo1g016610,Pyridoxal phosphate homeostasis protein (PLP homeostasis protein),YBL036C YBL0413
Bo1g016760,Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase),CYN At3g23490 MEE5.3
Bo1g016810,,
Bo1g017060,Methyltransferase-like protein 5 (EC 2.1.1.-),Mettl5
Bo1g017420,Receptor-like protein kinase 5 (EC 2.7.10.1) (EC 2.7.11.1) (Protein HAESA),RLK5 HAE At4g28490 F21O9.180
Bo1g017730,FCS-Like Zinc finger 2,FLZ2 DUF581-12 At4g17670 dl4870c FCAALL.414
Bo1g025880,L-ascorbate oxidase homolog (EC 1.10.3.-),Bp10
Bo1g028320,,
Bo1g034460,,
Bo1g037800,Protein TIC110 chloroplastic (Translocon at the inner envelope membrane of chloroplasts 110) (AtTIC110),TIC110 At1g06950 F10K1.33 F4H5.1
Bo1g037810,Endoglucanase 21 (EC 3.2.1.4) (Endo-14-beta glucanase 21),KOR3 At4g24260 T22A6.90
Bo1g039130,Mitochondrial uncoupling protein 4 (AtPUMP4) (Mitochondrial dicarboxylate carrier 2),PUMP4 DIC2 UCP4 At4g24570 F22K18.230
Bo1g039210,Zinc-finger homeodomain protein 2 (AtZHD2) (Homeobox protein 22) (AtHB-22) (Protein MATERNAL EFFECT EMBRYO ARREST 68),ZHD1 HB22 MEE68 At4g24660 F22K18.140
Bo1g043080,ATP-dependent 6-phosphofructokinase 3 (ATP-PFK 3) (Phosphofructokinase 3) (EC 2.7.1.11) (Phosphohexokinase 3),PFK3 At4g26270 T25K17.80
Bo1g046400,F-box protein At1g30790,At1g30790 T17H7.6
Bo1g050910,,
Bo1g051290,,
Bo1g051400,,
Bo1g051840,Retrovirus-related Pol polyprotein from transposon RE2 (Retro element 2) (AtRE2) [Includes: Protease RE2 (EC 3.4.23.-); Reverse transcriptase RE2 (EC 2.7.7.49); Endonuclease RE2],RE2 At4g02960 T4I9.16
Bo1g052920,Glucan endo-13-beta-glucosidase 6 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 6) ((1->3)-beta-glucanase 6) (Beta-13-endoglucanase 6) (Beta-13-glucanase 6),At5g58090 K21L19.12 K21L19_70
Bo1g055030,Cellulose synthase A catalytic subunit 6 [UDP-forming] (AtCesA6) (EC 2.4.1.12) (AraxCelA) (Isoxaben-resistant protein 2) (Protein PROCUSTE 1) (Protein QUILL),CESA6 IXR2 PRC1 QUI At5g64740 MVP7.7
Bo1g055290,,
Bo1g057030,UDP-glycosyltransferase 71B5 (EC 2.4.1.-),UGT71B5 At4g15280 dl3685w FCAALL.255
Bo1g057190,,
Bo1g057560,Probably inactive leucine-rich repeat receptor-like protein kinase At3g28040,At3g28040 MMG15.21
Bo1g057570,,
Bo1g057650,,
Bo1g059390,,
Bo1g067400,Ras-related protein RABE1c (AtRABE1c) (Ras-related protein Ara-3) (Ras-related protein Rab8A) (AtRab8A),RABE1C ARA-3 RAB8A At3g46060 F12M12.30
Bo1g071000,Ras-related protein RABA2d (AtRABA2d),RABA2D At5g59150 MNC17.6
Bo1g071010,,
Bo1g071110,,
Bo1g076780,,
Bo1g076840,Protein disulfide isomerase-like 1-5 (AtPDIL1-5) (EC 5.3.4.1) (Protein disulfide isomerase 3) (AtPDI3) (Protein disulfide isomerase-like 3-1) (AtPDIL3-1),PDIL1-5 PDI3 PDIL3-1 At1g52260 F19K6.17
Bo1g078260,,
Bo1g078530,,
Bo1g079040,,
Bo1g081400,,
Bo1g082430,,
Bo1g083550,Acyl-CoA-binding domain-containing protein 5 (Acyl-CoA binding protein 5),ACBP5 At5g27630 F15A18.90
Bo1g084830,Phosphoglycerate mutase-like protein 4,At3g50520 T20E23.120
Bo1g084860,,
Bo1g086060,Activating signal cointegrator 1 (ASC-1) (Thyroid receptor-interacting protein 4) (TR-interacting protein 4) (TRIP-4),Trip4
Bo1g087600,,
Bo1g087830,,
Bo1g088000,Serine/threonine-protein kinase MHK (EC 2.7.11.22),MHK At4g13020 F25G13.110
Bo1g090150,Two-pore potassium channel 1 (AtTPK1) (Calcium-activated outward-rectifying potassium channel 1) (AtKCO1),TPK1 KCO1 At5g55630 MDF20.7
Bo1g090160,RNA-binding protein 1 (AtRBP1),RBP1 XF41 At1g58470 F9K23.11
Bo1g090200,Kinesin-like protein KIN-7N,KIN7N ZCF125 At1g59540 T30E16.9 T4M14.11
Bo1g094460,Ferredoxin-2 chloroplastic (AtFd2),FD2 PETF PETF1 At1g60950 T7P1.9
Bo1g098220,60S ribosomal protein L3-2,ARP2 RPL3B At1g61580 T25B24.7
Bo1g098230,,
Bo1g098320,Replication protein A 70 kDa DNA-binding subunit B (AtRPA70B) (AtRPA1-5) (Replication factor A protein 1B) (Replication protein A 1B) (AtRPA1B),RPA1B RPA70B At5g08020 F13G24.220
Bo1g098350,,
Bo1g099940,,
Bo1g101420,QWRF motif-containing protein 2,QWRF2 At1g49890 F10F5.10 T18C15.4
Bo1g101790,Protein DETOXIFICATION 19 (AtDTX19) (Multidrug and toxic compound extrusion protein 19) (MATE protein 19) (Protein ABERRANT LATERAL ROOT FORMATION 5),DTX19 ALF5 At3g23560 MDB19.4
Bo1g102040,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 4 (Protein ORGAN BOUNDARY 4),LSH4 OBO4 At3g23290 MLM24
Bo1g102250,Nuclear pore complex protein NUP155 (Nucleoporin 155),NUP155 At1g14850 F10B6.25
Bo1g103700,Protein MODIFIER OF SNC1 11,MOS11 At5g02770 F9G14.80
Bo1g103750,Early light-induced protein 1 chloroplastic,ELIP1 ELIP At3g22840 MWI23.21
Bo1g105150,,
Bo1g105370,,
Bo1g105620,Peroxidase 30 (Atperox P30) (EC 1.11.1.7) (ATP7a) (PRXR9),PER30 P30 At3g21770 MSD21.10 MSD21.8
Bo1g105680,,
Bo1g105850,UDP-glycosyltransferase 84A2 (Protein BRIGHT TRICHOMES 1) (Sinapate 1-glucosyltransferase 1) (AtSGT1) (EC 2.4.1.120),UGT84A2 BRT1 SGT SGT1 At3g21560 MIL23.13
Bo1g105930,,
Bo1g105950,,
Bo1g108370,,
Bo1g108470,,
Bo1g108960,Aspartate carbamoyltransferase chloroplastic (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase),PYRB At3g20330 MQC12.7
Bo1g108970,Ethylene-responsive transcription factor 7 (AtERF7) (Ethylene-responsive element-binding factor 7) (EREBP-7),ERF7 ERF-7 ERF083 At3g20310 MQC12.5
Bo1g114910,Polyadenylate-binding protein RBP47B (Poly(A)-binding protein RBP47B) (RNA-binding protein 47B) (AtRBP47B),RBP47B At3g19130 MVI11.3
Bo1g115930,,
Bo1g117700,F-box protein At2g35280,At2g35280 T4C15.5
Bo1g118970,Beta-glucosidase 43 (AtBGLU43) (EC 3.2.1.21),BGLU43 At3g18070 MRC8.6
Bo1g119430,Transcription factor HY5-like (HY5 homolog) (bZIP transcription factor 64) (AtbZIP64),HYH BZIP64 At3g17609 MKP6.27
Bo1g122750,,
Bo1g122970,GATA transcription factor 17,GATA17 At3g16870 MUH15.3
Bo1g123270,RING-H2 finger protein ATL2 (EC 2.3.2.27) (Protein ARABIDOPSIS TOXICOS EN LEVADURA 2) (Protein ATL2) (RING-type E3 ubiquitin transferase ATL2),ATL2 At3g16720 MGL6.19
Bo1g123400,,
Bo1g123690,Probable isoaspartyl peptidase/L-asparaginase 2 (EC 3.4.19.5) (L-asparagine amidohydrolase 2) [Cleaved into: Isoaspartyl peptidase/L-asparaginase 2 subunit alpha; Isoaspartyl peptidase/L-asparaginase 2 subunit beta],At3g16150 MSL1.19
Bo1g129680,,
Bo1g131240,,
Bo1g134510,Ethylene-responsive transcription factor RAP2-2 (AtRAP2.2) (Protein RELATED TO APETALA2 2),RAP2-2 ERF075 At3g14230 MLN21.1
Bo1g138700,,
Bo1g139100,DNA damage-repair/toleration protein DRT100,DRT100 At3g12610 MMF12.5 T2E22.8 T2E22_107
Bo1g139530,Chaperone protein dnaJ 6 (AtDjC6) (AtJ6),ATJ6 C6 J6 At5g06910 MOJ9.8
Bo1g139650,Calcium load-activated calcium channel homolog (CLAC channel),F22B5.10
Bo1g141150,GDSL esterase/lipase CPRD49 (EC 3.1.1.-) (Extracellular lipase CPRD49),CPRD49 At3g11210 F11B9.13 F9F8.1
Bo1g141570,Purple acid phosphatase 10 (EC 3.1.3.2),PAP10 AT11 At2g16430 F16F14.7
Bo1g147160,Thymidine kinase a (AtTK1a) (EC 2.7.1.21),TK1A At3g07800 F17A17.14 MLP3.25
Bo1g147360,Auxin-induced in root cultures protein 12,AIR12 At3g07390 F21O3_10
Bo1g147720,Protein HLJ1,HLJ1 YMR161W YM8520.10
Bo1g147750,Thioredoxin-like protein CITRX chloroplastic (EC 1.8.-.-) (Cf-9-interacting thioredoxin) (AtCiTrx) (PEP-associated protein 10) (Thioredoxin Trx p) (Thioredoxin Z),CITRX PAP10 TRX P TRX Z At3g06730 F3E22.13
Bo1g148920,Elongation of fatty acids protein 3-like (Protein ELO3-like) (EC 2.3.1.-) (Protein HIGH EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 3) (Very long-chain fatty acid condensing enzyme HOS3) (VLCFA condensing enzyme HOS3),HOS3 At4g36830 AP22.81 C7A10.530
Bo1g150080,Transcription factor MUTE (Basic helix-loop-helix protein 45) (AtbHLH45) (bHLH 45) (Transcription factor EN 20) (bHLH transcription factor bHLH045),MUTE BHLH45 EN20 At3g06120 F28L1.6
Bo1g150100,Uncharacterized GPI-anchored protein At3g06035,At3g06035 24F17.7
Bo1g150480,60S ribosomal protein L18-2,RPL18B At3g05590 F18C1.14
Bo1g153330,NADPH-dependent aldehyde reductase-like protein chloroplastic (EC 1.1.1.-),At3g03980 T11I18.9
Bo1g154930,Tropinone reductase homolog At2g29310 (EC 1.1.1.-),At2g29310 F16P2.31
Bo1g155100,Gibberellin-regulated protein 5 (GAST1 protein homolog 5),GASA5 At3g02885 F13E7
Bo1g156280,Villin-2,VLN2 At2g41740 T11A7.16
Bo1g157580,Polypyrimidine tract-binding protein homolog 1,PTB At3g01150 T4P13.16
Bo21255s010,Xyloglucan endotransglucosylase/hydrolase protein 22 (At-XTH22) (XTH-22) (EC 2.4.1.207) (Touch protein 4),XTH22 TCH4 At5g57560 MUA2.13
Bo22246s010,,
Bo23346s010,Histone H3.2 (Histone H3.1),HTR2 At1g09200 T12M4.9; HTR3 At3g27360 K1G2.8; HTR13 At5g10390 F12B17_260; HTR9 At5g10400 F12B17_250; HTR1 At5g65360 MNA5.9
Bo2g001070,,
Bo2g003860,,
Bo2g004020,Lectin-like protein (Apoplastic EDS1-dependent protein 9) (SA-induced legume lectin-like protein 1),LLP AED9 LLP1 SAI-LLP1 At5g03350 F12E4.80
Bo2g004050,Transcription factor-like protein DPB (DP-like protein B) (AtDPbB) (E2F dimerization partner protein B),DPB DP1 At5g03415 F12E4.160
Bo2g006960,Dehydration-responsive element-binding protein 2A (Protein DREB2A),DREB2A ERF045 At5g05410 K18I23.22
Bo2g009540,Probable pectinesterase/pectinesterase inhibitor 51 [Includes: Pectinesterase inhibitor 51 (Pectin methylesterase inhibitor 51); Pectinesterase 51 (PE 51) (EC 3.1.1.11) (Pectin methylesterase 51) (AtPME51)],PME51 ARATH51 At5g09760 F17I14.50
Bo2g009840,Histone H3.2 (Histone H3.1),HTR2 At1g09200 T12M4.9; HTR3 At3g27360 K1G2.8; HTR13 At5g10390 F12B17_260; HTR9 At5g10400 F12B17_250; HTR1 At5g65360 MNA5.9
Bo2g010130,Protein POLAR-like 1,PL1 At5g10890 T30N20.160
Bo2g010220,,
Bo2g010500,ER membrane protein complex subunit 1,EMC1 RCJMB04_8i12
Bo2g010530,Dehydration-responsive element-binding protein 3 (Protein TINY 2),DREB3 ERF041 TINY2 At5g11590 F15N18.180
Bo2g010870,Bi-functional coumaroyl CoA and feruloyl CoA ortho-hydroxylase F6H2-1-8 (IbF6H2-1-8) (EC 1.14.11.61) (EC 1.14.11.62) (2-oxoglutarate-dependent dioxygenase F6H2-1-8) (2OGD F6H2-1-8),F6H2-1-8
Bo2g010920,Mitochondrial fission 1 protein B (FIS1 homolog B) (AtFIS1b),FIS1B At5g12390 T2L20
Bo2g011710,Thioredoxin reductase 2 (EC 1.8.1.9) (NADPH-dependent thioredoxin reductase 2) (NTR2) (NADPH-dependent thioredoxin reductase A) (AtNTRA),NTR2 NTRA At2g17420 F5J6.18
Bo2g013690,Putative F-box/kelch-repeat protein At3g24610,At3g24610 MOB24.20
Bo2g013840,Chromo domain-containing protein LHP1 (Protein LIKE HETEROCHROMATIN PROTEIN 1) (Protein TERMINAL FLOWER 2),LHP1 TFL2 TU8 At5g17690 MVA3.4
Bo2g016440,Disease resistance-like protein DSC2 (Protein DOMINANT SUPRESSOR OF CAMTA3 NUMBER 2),DSC2 At5g18370
Bo2g017650,Glutathione S-transferase T3 (AtGSTT3) (EC 2.5.1.18) (GST class-theta member 3) (Glutathione S-transferase 10C),GSTT3 GST10C At5g41220 K1O13.1
Bo2g017820,Protein FANTASTIC FOUR 3,FAF3 At5g19260 F7K24.10
Bo2g018230,,
Bo2g018250,Protein SINE2,SINE2 At3g03970 T11I18.8
Bo2g018340,Tubulin alpha-3 chain,TUBA3 TUA3 At5g19770 T29J13.190
Bo2g018350,Tubulin alpha-3 chain,TUBA3 TUA3 At5g19770 T29J13.190
Bo2g018490,Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31) (Mediator complex subunit SOH1),MED31 MED31_1 At5g19910 F28I16.60
Bo2g022030,Protein LURP-one-related 16,At5g20640 T1M15.40
Bo2g023380,Leucine-rich repeat protein 1 (AtLRR1),LRR1 At5g21090 T10F18.120
Bo2g024730,,
Bo2g025230,THO complex subunit 4A (ALYREF homolog 1) (AtALY1),ALY1 THO4A At5g59950 MMN10.26
Bo2g025250,Histone H2B.7 (HTB11),At3g46030 F16L2.240
Bo2g026620,,
Bo2g026790,,
Bo2g026910,,
Bo2g028260,Serine/threonine/tyrosine-protein kinase HT1 (EC 2.7.10.1) (EC 2.7.11.1) (High leaf temperature protein 1),HT1 SUU At1g62400 F24O1.13
Bo2g030270,,
Bo2g034290,,
Bo2g041160,Glucan endo-13-beta-glucosidase 13 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 13) ((1->3)-beta-glucanase 13) (Beta-13-endoglucanase 13) (Beta-13-glucanase 13),At5g56590 MIK19.3
Bo2g041220,Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase 13) (AtStr13) (Sulfurtransferase MOCS3)],MOCS3 CNX5 STR13 UBA4 At5g55130 MCO15.8
Bo2g041240,,
Bo2g041490,,
Bo2g041630,,
Bo2g044580,Growth-regulating factor 7 (AtGRF7) (Transcription activator GRF7),GRF7 At5g53660 MNC6.20
Bo2g045850,O-acyltransferase WSD1 (Diacylglycerol O-acyltransferase) (DGAT) (EC 2.3.1.20) (Long-chain-alcohol O-fatty-acyltransferase) (EC 2.3.1.75) (Wax synthase) (WS),WSD1 At5g37300 MNJ8.9
