Gene,Description,BLAST_hit
Bo00722s080,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s100,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s110,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s130,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo00722s140,Glutathione S-transferase T2 (AtGSTT2) (EC 2.5.1.18) (GST class-theta member 2) (Glutathione S-transferase 10B),GSTT2 GST10B At5g41240/At5g41230 K1O13.3/K1O13.2
Bo00751s060,Probable acyl-activating enzyme 17 peroxisomal (EC 6.2.1.-),AAE17 At5g23050 MYJ24.4
Bo00751s090,Methylthioalkylmalate synthase 1 chloroplastic (EC 2.3.3.17) (2-isopropylmalate synthase 3),MAM1 IMS3 IPMS_AT2 MAM-L MAML At5g23010 T20O7.3
Bo00751s100,Methylthioalkylmalate synthase 1 chloroplastic (EC 2.3.3.17) (2-isopropylmalate synthase 3),MAM1 IMS3 IPMS_AT2 MAM-L MAML At5g23010 T20O7.3
Bo00758s050,Disease resistance-like protein DSC2 (Protein DOMINANT SUPRESSOR OF CAMTA3 NUMBER 2),DSC2 At5g18370
Bo00758s110,Putative disease resistance protein At4g10780,At4g10780 T12H20.8
Bo00763s030,,
Bo00763s130,,
Bo00766s050,,
Bo00766s060,,
Bo00779s030,Probable histone H2A.1 (HTA10),At1g51060 F23H24.9
Bo00792s020,,
Bo00792s040,Thioredoxin Y2 chloroplastic (AtTrxy2),At1g43560 T10P12.4
Bo00802s030,Pentatricopeptide repeat-containing protein At3g60960 mitochondrial,At3g60960 T27I15_50
Bo00802s060,Short-chain dehydrogenase reductase 3b (AtSDR3b) (EC 1.1.1.-),SDR3b SDR3 SDR5 At2g47140 F14M4
Bo00816s010,Chaperone protein dnaJ 16 (AtDjB16) (AtJ16) (Protein ARG1-LIKE 1) (AtARL1),ATJ16 ARL1 B16 At1g24120 F3I6.4
Bo00828s040,,
Bo00828s050,,
Bo00837s070,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),GLY I
Bo00851s060,Alpha/beta hydrolase domain-containing protein 17C (Abhydrolase domain-containing protein 17C) (EC 3.1.2.22),abhd17c zgc:55468
Bo00851s110,,
Bo00852s050,Aldehyde oxidase GLOX1 (EC 1.2.3.1) (Glyoxal oxidase 1),GLOX1 At1g67290 F1N21.11
Bo00854s020,,
Bo00854s050,,
Bo00854s060,,
Bo00858s050,,
Bo00866s030,Protein STRICTOSIDINE SYNTHASE-LIKE 8 (AtSSL8) (Strictosidine synthase 5) (AtSS5),SSL8 SS5 At3g57010 F24I3.90
Bo00877s070,Phenolic glucoside malonyltransferase 2 (EC 2.3.1.-),PMAT2 At3g29670 MOD1_4
Bo00884s010,,
Bo00898s030,Probable methyltransferase PMT3 (EC 2.1.1.-),At4g14360 dl3220c FCAALL.222
Bo00915s020,ERAD-associated E3 ubiquitin-protein ligase component HRD3A (AtSel1A) (Protein EMS-MUTAGENIZED BRI1 SUPPRESSOR 5),HRD3A EBS5 At1g18260 T10O22.22
Bo00915s030,,
Bo00916s010,Vacuolar protein sorting-associated protein 24 homolog 1 (AtVPS24-1) (Charged multivesicular body protein 3 homolog 1) (ESCRT-III complex subunit VPS24 homolog 1),VPS24-1 CHMP3-1 At5g22950 MRN17.18
Bo00920s030,,
Bo00924s030,,
Bo00924s040,,
Bo00926s030,Zinc finger CCCH domain-containing protein 24 (AtC3H24) (EC 2.1.1.-),At2g28450 T1B3.3
Bo00927s020,Protein FAM210B mitochondrial,Fam210b
Bo00927s060,Ribosomal RNA-processing protein 8 (EC 2.1.1.-),At5g40530 MNF13.4
Bo00934s010,Myrosinase (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),
Bo00934s080,,
Bo00935s010,Thymidylate kinase (AtTMPK) (EC 2.7.4.9) (Protein ZEUS1),ZEU1 At5g59440
Bo00935s020,Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Bile acid beta-glucosidase GBA2) (Bile acid glucosyl transferase GBA2) (Cholesterol glucosyltransferase GBA2) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase GBA2) (EC 3.2.1.104) (Glucosylceramidase 2),Gba2 Kiaa1605
Bo00950s010,,
Bo00950s050,Nudix hydrolase 25 (AtNUDT25) (EC 3.6.1.17) (Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)),NUDT25 NUDX25 At1g30110 T2H7.9
Bo00951s030,DNA-directed RNA polymerase II subunit 2 (DNA-directed RNA polymerase II 135 kDa polypeptide) (DNA-directed RNA polymerase II subunit RPB2) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2) (EC 2.7.7.6) (Protein EMBRYO DEFECTIVE 1989),NRPB2 EMB1989 RP140 RPB135 RPB2 At4g21710 F17L22.170
Bo00951s040,Importin beta-like SAD2 homolog,At3g59020 F17J16.70
Bo00958s060,50S ribosomal protein L27,rpmA BT_0152
Bo00963s010,,
Bo00969s060,,
Bo00984s010,,
Bo00993s020,Apoptosis-inducing factor 2 (EC 1.-.-.-),AIFM2
Bo00998s020,Transcription factor TCP19,TCP19 At5g51910 MJM18.6
Bo01004s010,,
Bo01004s020,,
Bo01006s010,Acyl-CoA-binding protein (ACBP),
Bo01011s010,Expansin-A10 (AtEXPA10) (Alpha-expansin-10) (At-EXP10) (AtEx10) (Ath-ExpAlpha-1.1),EXPA10 EXP10 At1g26770 T24P13.15 T24P13_14
Bo01026s020,Salicylic acid-binding protein 2 (NtSABP2) (EC 3.1.1.-) (Methyl salicylate esterase),SABP2
Bo01033s020,Cyclin-dependent kinase B2-2 (CDKB2;2) (EC 2.7.11.22) (EC 2.7.11.23),CDKB2-2 At1g20930 F9H16.8
Bo01035s060,Glutamate--cysteine ligase chloroplastic (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase),GSH1 ECS1
Bo01041s030,,
Bo01042s030,Probable glucose-1-phosphate adenylyltransferase large subunit chloroplastic (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADP-glucose synthase) (AGPase S) (Alpha-D-glucose-1-phosphate adenyl transferase),At2g21590 F2G1.14
Bo01042s040,,
Bo01049s020,,
Bo01049s040,Probable mitochondrial-processing peptidase subunit beta mitochondrial (EC 3.4.24.64) (Beta-MPP),At3g02090 F1C9.12
Bo01050s010,Phosphoglucan water dikinase chloroplastic (EC 2.7.9.5),GWD3 OK1 PWD At5g26570 F9D12.1 F9D12.19
Bo01051s050,13-hydroxylupanine O-tigloyltransferase (EC 2.3.1.93) ((-)-13alpha-hydroxymultiflorine/(+)-13alpha-hydroxylupanine O-tigloyltransferase) (HMT/HLTase) (Quinolizidine alkaloid O-tigloyltransferase),HMT/HLT
Bo01054s030,Protein MADS AFFECTING FLOWERING 5 (MADS box protein FCL1) (MADS-box protein AGAMOUS-LIKE 68),MAF5 AGL68 FCL1 At5g65080 F15O5.4
Bo01057s060,,
Bo01091s010,,
Bo01092s010,,
Bo01096s020,,
Bo01097s040,CDPK-related kinase 4 (AtCRK4) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase CRK4),CRK4 CP4 At5g24430 K16H17.14
Bo01097s050,,
Bo01100s020,Homeobox-leucine zipper protein HDG11 (HD-ZIP protein HDG11) (Homeodomain GLABRA 2-like protein 11) (Homeodomain transcription factor HDG11) (Protein ENHANCED DROUGHT TOLERANCE 1) (Protein HOMEODOMAIN GLABROUS 11),HDG11 EDT1 HDGL2-11 At1g73360 T9L24.43
Bo01107s010,Putative ATP synthase protein YMF19 (EC 7.1.2.2) (Mitochondrial protein YMF19),YMF19
Bo01108s030,,
Bo01108s050,Transcription factor tau subunit sfc4 (TFIIIC subunit sfc4) (Transcription factor C subunit 4),sfc4 tfc4 SPCC16C4.14c
Bo01113s030,Probable indole-3-pyruvate monooxygenase YUCCA10 (EC 1.14.13.168) (Flavin-containing monooxygenase YUCCA10),YUC10 YUCCA10 At1g48910 F27K7.7
Bo01121s020,,
Bo01124s020,,
Bo01128s020,,
Bo01139s040,,
Bo01143s050,Beta-hexosaminidase 1 (EC 3.2.1.52) (Beta-GlcNAcase 1) (Beta-N-acetylhexosaminidase 1) (Beta-hexosaminidase 2) (AtHEX2) (N-acetyl-beta-glucosaminidase 1),HEXO1 HEX2 At3g55260 T26I12.140
Bo01149s030,,
Bo01160s010,Calcium sensing receptor chloroplastic (Sulfurtransferase 3) (AtStr3),CAS STR3 At5g23060 MYJ24.5
Bo01163s010,Lipoxygenase 2 chloroplastic (AtLOX2) (EC 1.13.11.12),LOX2 At3g45140 T14D3.80
Bo01170s020,Aquaporin PIP2-1 (Plasma membrane intrinsic protein 2-1) (AtPIP2;1) (Plasma membrane intrinsic protein 2a) (PIP2a),PIP2-1 PIP2A At3g53420 F4P12.120
Bo01175s010,Type IV inositol polyphosphate 5-phosphatase 3 (At5PTase3) (EC 3.1.3.36) (EC 3.1.3.86),IP5P3 At1g71710 F14O23_9 F26A9.1
Bo01175s020,,
Bo01178s020,Calcium-binding protein CML42 (Calmodulin-like protein 42),CML42 At4g20780 F21C20.130
Bo01198s030,,
Bo01203s020,Splicing factor U2af large subunit B (U2 auxiliary factor 65 kDa subunit B) (U2 small nuclear ribonucleoprotein auxiliary factor large subunit B) (U2 snRNP auxiliary factor large subunit B),U2AF65B At1g60900 T7P1.5
Bo01206s010,Transposon Tf2-11 polyprotein (Retrotransposable element Tf2 155 kDa protein),Tf2-11 SPBC1289.17 SPBC8E4.11c
Bo01210s030,,
Bo01235s020,,
Bo01246s010,,
Bo01279s020,50S ribosomal protein L36,rpmJ Pmob_0766
Bo01280s030,,
Bo01298s010,,
Bo01306s020,,
Bo01309s010,Outer envelope pore protein 16-3 chloroplastic/mitochondrial (Chloroplastic outer envelope pore protein of 16 kDa 3) (AtOEP16-3) (OEP16-3) (Mitochondrial complex I subunit B14.7),OEP163 B14.7 At2g42210 T24P15.12
Bo01339s010,Methionine--tRNA ligase cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS),At4g13780 F18A5.170
Bo01342s010,,
Bo01362s010,Hexokinase-3 (EC 2.7.1.1),At1g50460 F11F12.18
Bo01367s010,F-box protein At1g11270,At1g11270 T28P6.23
Bo01379s030,,
Bo01383s020,CBL-interacting serine/threonine-protein kinase 20 (EC 2.7.11.1) (SNF1-related kinase 3.6) (SOS2-like protein kinase PKS18),CIPK20 PKS18 SnRK3.6 At5g45820 K15I22.2
Bo01390s020,,
Bo01390s050,Protein GLE1 (AtGLE1) (Protein EMBRYO DEFECTIVE 1745),GLE1 EMB1745 At1g13120 F3F19.14
Bo01392s020,,
Bo01396s020,Membrin-12 (AtMEMB12) (Golgi SNAP receptor complex member 2-2),MEMB12 At5g50440 MXI22.16
Bo01396s030,,
Bo01425s010,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1 (EC 2.1.1.14) (Cobalamin-independent methionine synthase 1) (AtMS1) (Vitamin-B12-independent methionine synthase 1),MS1 CIMS At5g17920 MPI7.9
Bo01449s020,Acid phosphatase 1 (EC 3.1.3.2) (Apase-1(1)),APS1 APS-1(1)
Bo01451s030,Pectin acetylesterase 2 (EC 3.1.1.-),PAE2 At1g57590 T8L23.6
Bo01463s020,Beta-glucosidase 3 (AtBGLU3) (EC 3.2.1.21),BGLU3 At4g22100 F1N20.200
Bo01470s010,Glycine-rich RNA-binding protein 2 mitochondrial (AtGR-RBP2) (AtRBG2) (Glycine-rich protein 2) (AtGRP2) (Mitochondrial RNA-binding protein 1a) (At-mRBP1a),RBG2 GR-RBP2 GRP2 MRBP1A At4g13850 F18A5.240
Bo01471s010,,
Bo01477s010,,
Bo01487s010,Glycine-rich protein 3 short isoform,GRP3S At2g05380 F16J10.7
Bo01499s020,Uncharacterized protein ycf68 (ORF113),ycf68-1; ycf68-2
Bo01660s010,Lipoxygenase 2 chloroplastic (AtLOX2) (EC 1.13.11.12),LOX2 At3g45140 T14D3.80
Bo01682s020,,
Bo01697s010,,
Bo01863s010,UPF0481 protein At3g47200,At3g47200 F13I12.250
Bo01916s010,Cytidine deaminase 1 (At-CDA1) (EC 3.5.4.5),CDA1 CDD DESZ At2g19570 F3P11
Bo02022s010,DNA-directed RNA polymerase II subunit 4 (15.9 kDa subunit of RNA polymerase II) (DNA-directed RNA polymerase II subunit D),NRPB4 RPB15.9 RPB4 At5g09920 MYH9.13
Bo02174s010,Peroxisomal isocitrate dehydrogenase [NADP] (EC 1.1.1.42),ICDH At1g54340 F20D21.16
Bo02268s010,,
Bo02274s010,Ras-related protein Rab-7A,rab7A rab7 DDB_G0269236
Bo02309s010,,
Bo02670s010,Protein NRT1/ PTR FAMILY 2.3 (AtNPF2.3) (Probable nitrate excretion transporter 3) (Protein NAXT1-like 2),NPF2.3 At3g45680 T6D9.10
Bo02800s010,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo02821s010,Pectinesterase/pectinesterase inhibitor 3 [Includes: Pectinesterase inhibitor 3 (Pectin methylesterase inhibitor 3); Pectinesterase 3 (PE 3) (EC 3.1.1.11) (Pectin methylesterase 27) (AtPME27) (Pectin methylesterase 3)],PME3 ARATH27 At3g14310 MLN21.10
Bo02888s010,DNA repair protein RAD5A (EC 3.6.4.-) (Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 2) (SMARCA3-like protein 2) (RAD5 homolog A) (AtRAD5a),RAD5A RAD5 At5g22750 MDJ22.17
Bo03121s010,Glycine-rich RNA-binding protein 2 mitochondrial (AtGR-RBP2) (AtRBG2) (Glycine-rich protein 2) (AtGRP2) (Mitochondrial RNA-binding protein 1a) (At-mRBP1a),RBG2 GR-RBP2 GRP2 MRBP1A At4g13850 F18A5.240
Bo03243s010,,
Bo03378s010,,
Bo03384s010,Probable disease resistance RPP8-like protein 2,RPP8L2 At1g53350 F12M16.35
Bo03856s010,Agamous-like MADS-box protein AGL70 (MADS box FLC1-like nuclear protein 3) (Protein AGAMOUS-like 70) (Protein MADS AFFECTING FLOWERING 3),AGL70 FCL3 MAF3 At5g65060 F15O5.2
Bo03980s010,,
Bo03984s010,Heterogeneous nuclear ribonucleoprotein 1 (hnRNP1),RNP1 At4g14300 dl3190w FCAALL.156
Bo04166s010,Cinnamyl alcohol dehydrogenase 8 (AtCAD8) (EC 1.1.1.195) (NAD-dependent mannitol dehydrogenase 2),CAD8 BAD CAD5 CADB2 ELI3-2 At4g37990 F20D10.110
Bo04193s010,,
Bo04370s010,Probable tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein osgep) (tRNA threonylcarbamoyladenosine biosynthesis protein osgep),osgep DDB_G0267512
Bo04491s010,RuBisCO large subunit-binding protein subunit alpha chloroplastic (60 kDa chaperonin subunit alpha) (CPN-60 alpha) (Fragment),
Bo04537s010,Galacturonokinase (EC 2.7.1.44) (D-galacturonic acid-1-P kinase),GALAK At3g10700 F13M14.1 T7M13.22
Bo04593s010,,
Bo04741s010,2-oxoglutarate-dependent dioxygenase AOP3 (EC 1.14.11.-),AOP3
Bo04917s010,Cytochrome f,petA
Bo04926s010,,
Bo04963s010,2-oxoglutarate-dependent dioxygenase AOP2 (EC 1.14.11.-),AOP2
Bo05008s010,Sphinganine C4-monooxygenase 1 (EC 1.14.18.5) (Sphingoid C4-hydroxylase 1) (Sphingoid base hydroxylase 1),SBH1 At1g69640 F24J1.22 T6C23.16
Bo05048s010,,
Bo05435s010,Tubulin alpha-3 chain,TUBA3 TUA3 At5g19770 T29J13.190
Bo05589s010,Glycine-rich RNA-binding protein 2 mitochondrial (AtGR-RBP2) (AtRBG2) (Glycine-rich protein 2) (AtGRP2) (Mitochondrial RNA-binding protein 1a) (At-mRBP1a),RBG2 GR-RBP2 GRP2 MRBP1A At4g13850 F18A5.240
Bo05984s010,Transcription initiation factor IIF subunit alpha (TFIIF-alpha) (General transcription factor IIF subunit 1) (Transcription initiation factor RAP74 homolog) (AtRAP74),RAP74 TF2Falpha At4g12610 T1P17.200
Bo06089s010,,
Bo06492s010,Lipoxygenase 2 chloroplastic (AtLOX2) (EC 1.13.11.12),LOX2 At3g45140 T14D3.80
Bo06511s010,,
Bo07119s010,,
Bo07665s010,Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1),EARLI1 At4g12480 T1P17.70
Bo08354s010,,
Bo08478s010,Expansin-A4 (AtEXPA4) (Alpha-expansin-4) (At-EXP4) (AtEx4) (Ath-ExpAlpha-1.6),EXPA4 EXP4 At2g39700 F17A14.7
Bo09205s010,Lipoxygenase 2 chloroplastic (AtLOX2) (EC 1.13.11.12),LOX2 At3g45140 T14D3.80
Bo09730s010,,
Bo10610s010,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)],ENPP3
Bo11710s010,,
Bo12274s010,Homeobox-leucine zipper protein HAT7 (HD-ZIP protein ATHB-3) (Homeodomain transcription factor ATHB-3) (Homeodomain-leucine zipper protein HAT7) (HD-ZIP protein 7),HAT7 ATHB-3 At5g15150 F8M21_40
Bo12478s010,,
Bo13088s010,,
Bo13142s010,,
Bo13741s010,4-substituted benzoates-glutamate ligase GH3.12 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 12) (AtGH3-12) (Protein GH3-LIKE DEFENSE GENE 1) (Protein GRETCHEN HAGEN 3.12) (Protein HOPW1-1-INTERACTING 3) (Protein avrPPHB SUSCEPTIBLE 3),GH3.12 GDG1 PBS3 WIN3 At5g13320 T22N19.5 T31B5.140
Bo14909s010,,
Bo14975s010,,
Bo15517s010,Tubulin alpha-2 chain,TUBA2 TUA2 At1g50010 F2J10.11
Bo15774s010,Alpha-glucan water dikinase 2 (EC 2.7.9.4),GWD2 At4g24450 T22A6.280
Bo17064s010,,
Bo17109s010,Phenolic glucoside malonyltransferase 1 (EC 2.3.1.-),PMAT1 At5g39050 MXF12.60
Bo17221s010,,
Bo17668s010,,
Bo17769s010,,
Bo1g001010,Amino acid transporter AVT3C (AtAvt3C) (Aromatic and neutral amino acid transporter-like protein 2),AVT3C At4g38250 F22I13.20
Bo1g001060,Cellulose synthase-like protein D4 (AtCslD4) (EC 2.4.1.-),CSLD4 At4g38190 F20D10.310
Bo1g002240,V-type proton ATPase subunit c1 (V-ATPase subunit c1) (V-type proton ATPase 16 kDa proteolipid subunit c1) (V-ATPase 16 kDa proteolipid subunit c1) (Vacuolar H(+)-ATPase subunit c isoform 1) (Vacuolar proton pump 16 kDa proteolipid subunit c1) (Vacuolar proton pump subunit c1),VHA-c1 AVA-P1 AVAP1 At4g34720 T4L20.300
Bo1g002250,Kinesin-like protein KIN-7F,KIN7F At4g38950 F19H22.50
Bo1g002450,Protein RADIALIS-like 1 (AtRL1) (Protein RAD-like 1) (Protein RADIALIS-LIKE SANT/MYB 2) (Protein RSM2),RL1 RSM2 At4g39250 T22F8.150
Bo1g002890,,
Bo1g002960,Adenylyl-sulfate kinase 2 chloroplastic (EC 2.7.1.25) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase 2) (Adenosine-5'-phosphosulfate kinase 2) (APS kinase 2),APK2 AKN2 At4g39940 T5J17.110
Bo1g003250,6-phosphogluconate dehydrogenase decarboxylating 1 chloroplastic (EC 1.1.1.44),PGD1 At1g64190 F22C12.5
Bo1g003410,Cysteine protease XCP2 (EC 3.4.22.-) (Xylem cysteine peptidase 2) (AtXCP2),XCP2 At1g20850 F2D10.37 F9H16.17
Bo1g004730,Cytochrome P450 81F4 (EC 1.14.-.-),CYP81F4 At4g37410 F6G17.60
Bo1g004840,Cytochrome P450 81Q32 (CrCYP81Q32) (EC 1.14.-.-),CYP81Q32
Bo1g005040,Heat stress transcription factor B-1 (AtHsfB1) (AtHsf-16) (Heat shock factor protein 4) (HSF 4) (Heat shock transcription factor 4) (HSTF 4),HSFB1 HSF16 HSF4 At4g36990 C7A10.370
Bo1g005420,Aminopeptidase P1 (AtAPP1) (EC 3.4.11.9),APP1 At4g36760 AP22.64 C7A10.600
Bo1g005490,Probable polyol transporter 6,PLT6 At4g36670 AP22.86 C7A10.690
Bo1g005500,Plant-specific TFIIB-related protein 1 (Plant-specific TFIIB-related protein) (AtPBRP) (TFIIB-related protein PBRP1),PBRP1 PBRP At4g36650 C7A10.710
Bo1g005550,,
Bo1g005570,Protein RADIALIS-like 3 (AtRL3) (Protein RAD-like 3),RL3 At4g36570 AP22.24 C7A10.790
Bo1g005840,Thioredoxin-like protein HCF164 chloroplastic (Protein HIGH CHLOROPHYLL FLUORESCENCE 164),HCF164 At4g37200 C7A10.160
Bo1g005850,F-box protein At1g30790,At1g30790 T17H7.6
Bo1g005890,,
Bo1g005970,Transcription factor bHLH11 (Basic helix-loop-helix protein 11) (AtbHLH11) (bHLH 11) (Transcription factor EN 137) (bHLH transcription factor bHLH011),BHLH11 EN137 At4g36060 T19K4.190
Bo1g005980,DNA-(apurinic or apyrimidinic site) lyase 2 (EC 4.2.99.18) (Apurinic-apyrimidinic endonuclease 2),APE2 At4g36050 T19K4.180
Bo1g006240,Senescence-associated protein DIN1,DIN1
Bo1g006580,Ubiquitin domain-containing protein DSK2a,DSK2A At2g17190 T23A1.5
Bo1g006720,,
Bo1g006740,Catalase-2 (EC 1.11.1.6),CAT2 CAT At4g35090 M4E13.140
Bo1g006830,Actin-depolymerizing factor 9 (ADF-9) (AtADF9),ADF9 At4g34970 M4E13.30
Bo1g006880,Xanthine dehydrogenase 1 (AtXDH1) (EC 1.17.1.4),XDH1 At4g34890 T11I11.130
Bo1g007010,Arginine decarboxylase 2 (ADC 2) (ARGDC 2) (AtADC2) (EC 4.1.1.19) (ADC-N),ADC2 SPE2 At4g34710 T4L20.290
Bo1g007020,Arginine decarboxylase 2 (ADC 2) (ARGDC 2) (AtADC2) (EC 4.1.1.19) (ADC-N),ADC2 SPE2 At4g34710 T4L20.290
Bo1g007160,Bifunctional dihydrofolate reductase-thymidylate synthase 2 (DHFR-TS 2) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)],THY-2 At4g34570 T4L20.150
Bo1g007370,eEF1A lysine and N-terminal methyltransferase (Methyltransferase-like protein 13) [Includes: eEF1A lysine methyltransferase (EC 2.1.1.-); eEF1A N-terminal methyltransferase (EC 2.1.1.-)],eef1aknmt mettl13
Bo1g007650,Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2),PAB2 At4g34110 F28A23.130
Bo1g007710,,
Bo1g007850,Ras-related protein RABA5a (AtRABA5a),RABA5A At5g47520 MNJ7.11
Bo1g007930,LL-diaminopimelate aminotransferase chloroplastic (AtDAP-AT) (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83) (Protein ABERRANT GROWTH AND DEATH 2),DAP AGD2 At4g33680 T16L1.170
Bo1g007940,,
Bo1g008070,Probable protein phosphatase 2C 62 (AtPP2C62) (EC 3.1.3.16),At4g33500 F17M5.260
Bo1g008260,Probable disease resistance protein At4g33300,At4g33300 F17M5.60
Bo1g008530,Calcineurin B-like protein 10 (SOS3-like calcium binding protein 8) (SCaBP8),CBL10 At4g33000 F26P21_120
Bo1g008570,,
Bo1g008670,,
Bo1g008710,,
Bo1g008770,,
Bo1g008790,,
Bo1g008800,,
Bo1g008820,,
Bo1g009820,,
Bo1g009840,Ras-related protein RABA5c (AtRABA5c) (Ras-related protein Ara-4) (Ras-related protein Rab11F) (AtRab11F),RABA5C ARA-4 RAB11F At2g43130 F14B2.7
Bo1g009900,Serine/threonine-protein kinase Aurora-1 (AtAur1) (EC 2.7.11.1) (Aurora-like kinase 1),AUR1 At4g32830 T16I18.40
Bo1g009960,Shikimate kinase 2 chloroplastic (AtSK2) (EC 2.7.1.71),SK2 At4g39540 F23K16.170
