Gene,Description,BLAST_hit
Bo01160s010,Calcium sensing receptor chloroplastic (Sulfurtransferase 3) (AtStr3),CAS STR3 At5g23060 MYJ24.5
Bo01170s020,Aquaporin PIP2-1 (Plasma membrane intrinsic protein 2-1) (AtPIP2;1) (Plasma membrane intrinsic protein 2a) (PIP2a),PIP2-1 PIP2A At3g53420 F4P12.120
Bo01449s020,Acid phosphatase 1 (EC 3.1.3.2) (Apase-1(1)),APS1 APS-1(1)
Bo01463s020,Beta-glucosidase 3 (AtBGLU3) (EC 3.2.1.21),BGLU3 At4g22100 F1N20.200
Bo02174s010,Peroxisomal isocitrate dehydrogenase [NADP] (EC 1.1.1.42),ICDH At1g54340 F20D21.16
Bo02821s010,Pectinesterase/pectinesterase inhibitor 3 [Includes: Pectinesterase inhibitor 3 (Pectin methylesterase inhibitor 3); Pectinesterase 3 (PE 3) (EC 3.1.1.11) (Pectin methylesterase 27) (AtPME27) (Pectin methylesterase 3)],PME3 ARATH27 At3g14310 MLN21.10
Bo06492s010,Lipoxygenase 2 chloroplastic (AtLOX2) (EC 1.13.11.12),LOX2 At3g45140 T14D3.80
Bo10610s010,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)],ENPP3
Bo13741s010,4-substituted benzoates-glutamate ligase GH3.12 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 12) (AtGH3-12) (Protein GH3-LIKE DEFENSE GENE 1) (Protein GRETCHEN HAGEN 3.12) (Protein HOPW1-1-INTERACTING 3) (Protein avrPPHB SUSCEPTIBLE 3),GH3.12 GDG1 PBS3 WIN3 At5g13320 T22N19.5 T31B5.140
Bo1g001010,Amino acid transporter AVT3C (AtAvt3C) (Aromatic and neutral amino acid transporter-like protein 2),AVT3C At4g38250 F22I13.20
Bo1g002250,Kinesin-like protein KIN-7F,KIN7F At4g38950 F19H22.50
Bo1g002450,Protein RADIALIS-like 1 (AtRL1) (Protein RAD-like 1) (Protein RADIALIS-LIKE SANT/MYB 2) (Protein RSM2),RL1 RSM2 At4g39250 T22F8.150
Bo1g003410,Cysteine protease XCP2 (EC 3.4.22.-) (Xylem cysteine peptidase 2) (AtXCP2),XCP2 At1g20850 F2D10.37 F9H16.17
Bo1g004910,Probable LRR receptor-like serine/threonine-protein kinase At4g37250 (EC 2.7.11.1),At4g37250 AP22.22 C7A10.110
Bo1g005420,Aminopeptidase P1 (AtAPP1) (EC 3.4.11.9),APP1 At4g36760 AP22.64 C7A10.600
Bo1g005490,Probable polyol transporter 6,PLT6 At4g36670 AP22.86 C7A10.690
Bo1g006740,Catalase-2 (EC 1.11.1.6),CAT2 CAT At4g35090 M4E13.140
Bo1g006880,Xanthine dehydrogenase 1 (AtXDH1) (EC 1.17.1.4),XDH1 At4g34890 T11I11.130
Bo1g007020,Arginine decarboxylase 2 (ADC 2) (ARGDC 2) (AtADC2) (EC 4.1.1.19) (ADC-N),ADC2 SPE2 At4g34710 T4L20.290
Bo1g008070,Probable protein phosphatase 2C 62 (AtPP2C62) (EC 3.1.3.16),At4g33500 F17M5.260
Bo1g011090,Putative B3 domain-containing protein REM4 (Protein REPRODUCTIVE MERISTEM 4),REM4 At4g31630 F28M20.180
Bo1g011310,UPF0725 protein At2g20620,At2g20620 F23N11.6
Bo1g011910,AUGMIN subunit 8 (QWRF motif-containing protein 8) (ROP1 enhancer 2),AUG8 QWRF8 REN2 At4g30710 T10C21.60
Bo1g014400,NADPH--cytochrome P450 reductase 2 (CPR 2) (P450R 2) (EC 1.6.2.4),ATR2 AR2 At4g30210 F9N11.60
Bo1g014940,Mitogen-activated protein kinase kinase 2 (AtMAP2Kbeta) (AtMKK2) (MAP kinase kinase 2) (EC 2.7.12.2),MKK2 MAP2K MK1 At4g29810 F27B13.50
Bo1g017120,GDSL esterase/lipase At4g28780 (EC 3.1.1.-) (Extracellular lipase At4g28780),At4g28780 F16A16.110
Bo1g021700,Heat stress transcription factor A-4a (AtHsfA4a) (AtHsf-15) (Heat shock factor protein 21) (HSF 21) (Heat shock transcription factor 21) (HSTF 21),HSFA4A HSF15 HSF21 At4g18880 F13C5.50
Bo1g021970,Bifunctional aspartokinase/homoserine dehydrogenase 2 chloroplastic (AK-HD 2) (AK-HSDH 2) (Beta-aspartyl phosphate homoserine 2) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)],AKHSDH2 AK-HSDH II At4g19710 T16H5.70
Bo1g022260,Cytochrome P450 71A27 (EC 1.14.-.-),CYP71A27 At4g20240 F1C12.160
Bo1g022290,Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM3 (EC 2.7.11.1) (Protein BARELY ANY MERISTEM 3),BAM3 At4g20270 F1C12.190
Bo1g028540,39-dihydroxypterocarpan 6A-monooxygenase (EC 1.14.14.93) (Cytochrome P450 93A1) (Dihydroxypterocarpan 6a-hydroxylase) (D6aH),CYP93A1 Glyma03g29950
Bo1g031850,Cysteine-rich receptor-like protein kinase 11 (Cysteine-rich RLK11) (EC 2.7.11.-) (Receptor-like protein kinase 3),CRK11 RLK3 At4g23190 F21P8.80
Bo1g032000,Coatomer subunit alpha-1 (Alpha-coat protein 1) (Alpha-COP 1),At1g62020 F8K4.21
Bo1g033110,Pathogenesis-related protein R major form (Thaumatin-like protein E22),
Bo1g037040,MLP-like protein 328,MLP328 At2g01520 F2I9.14
Bo1g037090,Dirigent protein 6 (AtDIR6),DIR6 At4g23690 F9D16.160
Bo1g039260,High-affinity nitrate transporter 3.2,NRT3.2 At4g24715 F22K18.80
Bo1g039900,BRCA1-associated RING domain protein 1 (AtBARD1) (Protein REPRESSOR OF WUSCHEL 1),BARD1 ROW1 At1g04020 F21M11.4
Bo1g040230,Serine/arginine-rich splicing factor RS40 (At-RSp40) (AtRS40),RS40 RSP35 RSP40 At4g25500 M7J2.130
Bo1g040340,Uncharacterized protein At1g76660,At1g76660 F28O16.3
Bo1g045300,Uncharacterized protein At4g26485,At4g26485 M3E9.90
Bo1g045330,Uridine kinase-like protein 4 [Includes: Uridine kinase (UK) (EC 2.7.1.48); Putative uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9) (UMP pyrophosphorylase)],UKL4 UPT1 At4g26510 M3E9.60
Bo1g046560,Glutamate--tRNA ligase cytoplasmic (EC 6.1.1.17) (GluRSAt) (Glutamyl-tRNA synthetase) (GluRS),At5g26710 F21E10.12
Bo1g047860,Fatty acid desaturase 4 chloroplastic (EC 1.14.19.43) (Fatty acid desaturase A),FAD4 FADA At4g27030 F10M23.370
Bo1g047970,Napin (1.7S seed storage protein) [Cleaved into: Napin small chain; Napin large chain],NAP1
Bo1g049450,Early nodulin-like protein 2 (Phytocyanin-like protein),At4g27520 T29A15.10
Bo1g050800,Ribulose bisphosphate carboxylase/oxygenase activase chloroplastic (RA) (RuBisCO activase),RCA At2g39730 T5I7.3
Bo1g051040,Transcription factor TRY (Protein TRIPTYCHON),TRY At5g53200 MFH8.14
Bo1g051830,L-lactate dehydrogenase B (LDH-B) (EC 1.1.1.27) (Fragment),
Bo1g053110,RGG repeats nuclear RNA binding protein A (AtRGGA),RGGA At4g16830 dl4440w FCAALL.13
Bo1g053450,Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH8 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP2),At4g16680 dl4365c FCAALL.3
Bo1g055190,Histidine kinase 3 (EC 2.7.13.3) (Arabidopsis histidine kinase 3) (AtHK3) (Protein AUTHENTIC HIS-KINASE 3) (Protein ORESARA 12),AHK3 ORE12 At1g27320 F17L21.11
Bo1g055210,Shikimate O-hydroxycinnamoyltransferase (EC 2.3.1.133) (Hydroxycinnamoyl transferase) (Hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase),HST HCT At5g48930 K19E20.4
Bo1g058760,Receptor-like protein 47 (AtRLP47),RLP47 At4g13810 F18A5.200
Bo1g059170,Protein STRICTOSIDINE SYNTHASE-LIKE 5 (AtSSL5) (Protein YELLOW-LEAF-SPECIFIC GENE 2),SSL5 YLS2 At3g51430 F26O13.70
Bo1g060560,Thioredoxin domain-containing protein PLP3B (Phosducin-like protein 3B),PLP3B At5g66410 K1F13.6
Bo1g065030,Calcium sensing receptor chloroplastic (Sulfurtransferase 3) (AtStr3),CAS STR3 At5g23060 MYJ24.5
Bo1g071090,Tubulin beta-2 chain,TUBB2 TUB2 At5g62690 MRG21.11
Bo1g084570,Cysteine protease XCP2 (EC 3.4.22.-) (Xylem cysteine peptidase 2) (AtXCP2),XCP2 At1g20850 F2D10.37 F9H16.17
Bo1g087870,Mechanosensitive ion channel protein 3 chloroplastic (Mechanosensitive channel of small conductance-like 3) (MscS-Like protein 3),MSL3 At1g58200 F16M22.2 T18I24.11
Bo1g090210,Mitogen-activated protein kinase 2 (AtMPK2) (MAP kinase 2) (EC 2.7.11.24),MPK2 At1g59580 T30E16.13
Bo1g090360,Probable disease resistance protein At1g59620 (CW9),At1g59620 T30E16.18
Bo1g091540,Probable protein S-acyltransferase 22 (EC 2.3.1.225) (Probable palmitoyltransferase At1g69420) (Zinc finger DHHC domain-containing protein At1g69420),PAT22 At1g69420 F10D13.9 F23O10.1
Bo1g094470,Probable ATP synthase 24 kDa subunit mitochondrial,At2g21870 F7D8.19
Bo1g095760,Protein GID8 homolog,GID8 At1g61150 F11P17.12
Bo1g098030,Elongation factor 1-beta 2 (EF-1-beta 2) (Elongation factor 1-beta' 2) (EF-1-beta' 2) (Elongation factor 1B-alpha 2) (eEF-1B alpha 2),At5g19510 T20D1.30
Bo1g098300,Putative G-type lectin S-receptor-like serine/threonine-protein kinase At1g61610 (EC 2.7.11.1),At1g61610 T25B24.4
Bo1g101270,40S ribosomal protein S19 mitochondrial,RPS19 At5g47320 MQL5.18
Bo1g101380,Auxin-responsive protein IAA9 (Indoleacetic acid-induced protein 9),IAA9 At5g65670 F6H11.210 MPA24.1
Bo1g101510,Alpha-glucosidase 2 (EC 3.2.1.20) (Alpha-glucosidase II),
Bo1g102110,Putative E3 ubiquitin-protein ligase XBAT35 (EC 2.3.2.27) (Ankyrin repeat domain and RING finger-containing protein XBAT35) (Protein XB3 homolog 5) (RING-type E3 ubiquitin transferase XBAT35),XBAT35 At3g23280 K14B15.19
Bo1g102180,Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2),PAB2 At4g34110 F28A23.130
Bo1g105540,B-box domain protein 31 (AtBBX31) (Microprotein 1B),MIP1B BBX31 At3g21890
Bo1g108620,DNA damage-repair/toleration protein DRT100,DRT100 At3g12610 MMF12.5 T2E22.8 T2E22_107
Bo1g108870,Nardilysin-like (EC 3.4.24.61) (N-arginine dibasic convertase-like) (NRD convertase-like) (NRD-C),At1g06900 F4H5.4
Bo1g108910,Reactive Intermediate Deaminase A chloroplastic (EC 3.5.99.10) (2-iminobutanoate/2-iminopropanoate deaminase),RIDA At3g20390 MQC12.15
Bo1g112320,BTB/POZ domain-containing protein At3g19850,At3g19850 MPN9.9
Bo1g117630,CRM-domain containing factor CFM3 chloroplastic/mitochondrial (Protein CRM FAMILY MEMBER 3) (ZmCFM3),CFM3
Bo1g123520,Nitrile-specifier protein 2 (AtNSP2) (Jacalin-related lectin 21),NSP2 JAL21 At2g33070 F25I18.19
Bo1g123730,Ribulose bisphosphate carboxylase/oxygenase activase chloroplastic (RA) (RuBisCO activase),RCA At2g39730 T5I7.3
Bo1g124810,G-type lectin S-receptor-like serine/threonine-protein kinase CES101 (EC 2.7.11.1) (Protein CALLUS EXPRESSION OF RBCS 101),CES101 At3g16030 MSL1.2
Bo1g134420,Pectinesterase/pectinesterase inhibitor 3 [Includes: Pectinesterase inhibitor 3 (Pectin methylesterase inhibitor 3); Pectinesterase 3 (PE 3) (EC 3.1.1.11) (Pectin methylesterase 27) (AtPME27) (Pectin methylesterase 3)],PME3 ARATH27 At3g14310 MLN21.10
Bo1g134540,Phosphoinositide phosphatase SAC2 (AtSAC2) (EC 3.1.3.-) (Phosphatidylinositol 35-bisphosphate 5-phosphatase SAC2) (Protein SUPPRESSOR OF ACTIN 2) (SAC domain protein 2),SAC2 At3g14205 MAG2.20
Bo1g138890,Ycf49-like protein,sll0608
Bo1g139180,50S ribosomal protein L31 chloroplastic (CL31) (Protein EMBRYO DEFECTIVE 2184),RPL31 EMB2184 At1g75350 F1B16.11
Bo1g141240,Cytosolic endo-beta-N-acetylglucosaminidase 2 (ENGase 2) (EC 3.2.1.96) (Endo-beta-N-acetyglucosaminidase 85B) (AtENGase85B),ENGASE2 ENGASE85B At3g11040 F9F8.14
Bo1g143760,Isoaspartyl peptidase/L-asparaginase 1 (EC 3.4.19.5) (L-asparagine amidohydrolase 1) [Cleaved into: Isoaspartyl peptidase/L-asparaginase 1 subunit alpha; Isoaspartyl peptidase/L-asparaginase 1 subunit beta],At5g08100 T22D6_40
Bo1g144060,MLP-like protein 328,MLP328 At2g01520 F2I9.14
Bo1g144080,MLP-like protein 328,MLP328 At2g01520 F2I9.14
Bo1g144490,Metallothionein-like protein type 2 MT2-18,
Bo1g150370,Defensin-like protein 205,At3g05730 F10A16.1 F18C1.19
Bo1g150390,Defensin-like protein 204,At3g05727 F18C1
Bo1g157390,Zinc finger protein CONSTANS-LIKE 2,COL2 At3g02380 F11A12.106 F11A12.7 F16B3.2
Bo1g158950,Beta carbonic anhydrase 1 chloroplastic (AtbCA1) (AtbetaCA1) (EC 4.2.1.1) (Beta carbonate dehydratase 1) (Protein SALICYLIC ACID-BINDING PROTEIN 3) (AtSABP3),BCA1 CA1 SABP3 At3g01500 F4P13.5
Bo20493s010,Probable ubiquitin-conjugating enzyme E2 37 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 37) (Ubiquitin carrier protein 37),UBC37 At3g24515 MOB24.7
Bo25546s010,Glutamate--glyoxylate aminotransferase 2 (AtGGT2) (EC 2.6.1.4) (Alanine aminotransferase GGT2) (EC 2.6.1.2) (Alanine--glyoxylate aminotransferase GGT2) (EC 2.6.1.44) (Alanine-2-oxoglutarate aminotransferase 2) (EC 2.6.1.-),GGAT2 AOAT2 GGT2 At1g70580 F24J13.15 F5A18.24
Bo27042s010,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD),ENPP2
Bo2g001120,Aquaporin PIP2-1 (Plasma membrane intrinsic protein 2-1) (AtPIP2;1) (Plasma membrane intrinsic protein 2a) (PIP2a),PIP2-1 PIP2A At3g53420 F4P12.120
Bo2g004150,GDSL esterase/lipase At5g03610 (EC 3.1.1.-) (Extracellular lipase At5g03610),At5g03610 F17C15.30
Bo2g005220,ATPase 1 plasma membrane-type (EC 7.1.2.1) (Proton pump 1),AHA1 At2g18960 F19F24.16
Bo2g007350,Protein trichome birefringence,TBR At5g06700 MPH15.5
Bo2g009430,Heat shock 70 kDa protein 10 mitochondrial (Chaperone protein HscA homolog 2) (AtHscA2) (Heat shock protein 70-10) (AtHsp70-10) (Mitochondrial heat shock protein 70-2) (mtHsc70-2),HSP70-10 HSC70-5 HSCA2 MTHSC70-2 At5g09590 F17I14_220
Bo2g009450,Soluble inorganic pyrophosphatase 6 chloroplastic (EC 3.6.1.1) (Inorganic pyrophosphatase 6) (Pyrophosphate phospho-hydrolase 6) (PPase 6),PPA6 PPA At5g09650 F17I14.160
Bo2g010040,Aspartyl protease family protein At5g10770 (EC 3.4.23.-),At5g10770 T30N20_40
Bo2g010950,Nuclear transcription factor Y subunit A-1 (AtNF-YA-1) (Protein EMBRYO DEFECTIVE 2220) (Transcriptional activator HAP2A),NFYA1 EMB2220 HAP2A At5g12840 T24H18_10
Bo2g011190,4-substituted benzoates-glutamate ligase GH3.12 (EC 6.3.2.-) (Auxin-responsive GH3-like protein 12) (AtGH3-12) (Protein GH3-LIKE DEFENSE GENE 1) (Protein GRETCHEN HAGEN 3.12) (Protein HOPW1-1-INTERACTING 3) (Protein avrPPHB SUSCEPTIBLE 3),GH3.12 GDG1 PBS3 WIN3 At5g13320 T22N19.5 T31B5.140
Bo2g011300,Protein IQ-DOMAIN 14,IQD14 At2g43680 F18O19.21
Bo2g012160,Beta carbonic anhydrase 2 chloroplastic (AtbCA2) (AtbetaCA2) (EC 4.2.1.1) (Beta carbonate dehydratase 2),BCA2 CA18 CA2 At5g14740 T9L3.40
Bo2g016540,Probable receptor-like protein kinase At5g18500 (EC 2.7.11.1),At5g18500 T28N17.1
Bo2g018430,F-box protein At3g26010,At3g26010 MPE11.18
Bo2g023480,Protein argonaute 9,AGO9 At5g21150 T10F18.180
Bo2g023820,NAC domain-containing protein 89 (ANAC089) (Protein FRUCTOSE-SENSING QUANTITATIVE TRAIT LOCUS 6),NAC089 FAN FSQ6 At5g22290 MWD9.7 T6G21.9
Bo2g024450,Serine/threonine-protein kinase SRPK (PSRPK) (EC 2.7.11.1),
Bo2g025470,Monofunctional riboflavin biosynthesis protein RIBA 3 chloroplastic [Includes: Inactive 34-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)],RIBA3 At5g59750 MTH12.13 MTH12.150
Bo2g026640,UDP-glycosyltransferase 76E2 (EC 2.4.1.-),UGT76E2 At5g59590 F2O15.19
Bo2g028370,Dehydrodolichyl diphosphate synthase 4 (Dedol-PP synthase 4) (EC 2.5.1.-),At5g58782 MZN1.23
Bo2g028590,Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP22) (Protein ROOT INITIATION DEFECTIVE 1),RID1 At1g26370 T1K7.25
Bo2g028790,Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1),PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6
Bo2g032810,Casein kinase 1-like protein 12 (EC 2.7.11.1) (Protein CASEIN KINASE I-LIKE 12),CKL12 At5g57015
Bo2g037610,Heat shock protein 90-2 (AtHSP90.2) (AtHsp90-2) (Heat shock protein 81-2) (Hsp81-2) (Protein EARLY-RESPONSIVE TO DEHYDRATION 8) (Protein LOSS OF RECOGNITION OF AVRRPM1 2) (Protein MUTANT SNC1-ENHANCING 12),HSP90-2 ERD8 HSP81-2 LRA2 MUSE12 At5g56030 MDA7.7
Bo2g037620,Heat shock protein 90-2 (AtHSP90.2) (AtHsp90-2) (Heat shock protein 81-2) (Hsp81-2) (Protein EARLY-RESPONSIVE TO DEHYDRATION 8) (Protein LOSS OF RECOGNITION OF AVRRPM1 2) (Protein MUTANT SNC1-ENHANCING 12),HSP90-2 ERD8 HSP81-2 LRA2 MUSE12 At5g56030 MDA7.7
Bo2g037730,Putative pectate lyase 21 (EC 4.2.2.2),At5g55720 MDF20.16
Bo2g041230,GDP-L-galactose phosphorylase 2 (EC 2.7.7.69) (Protein VITAMIN C DEFECTIVE 5),VTC5 VTC2L At5g55120 MCO15.7
Bo2g041370,Alpha-humulene/(-)-(E)-beta-caryophyllene synthase (EC 4.2.3.-) (Terpenoid synthase 21) (AtTPS21),TPS21 PUP8 At5g23960 MZF18.16
Bo2g048080,BAG family molecular chaperone regulator 1 (Bcl-2-associated athanogene 1),BAG1 At5g52060 MSG15.15
Bo2g050490,Conserved oligomeric Golgi complex subunit 7 (COG complex subunit 7) (Component of oligomeric Golgi complex 7),Cog7 CG31040
Bo2g050510,Protein DYAD (Protein SWITCH 1),DYAD SWI1 At5g51330 MFG13.3
Bo2g053920,Probable serine/threonine-protein kinase PBL3 (EC 2.7.11.1) (PBS1-like protein 3) (Protein kinase 2B),PBL3 APK2B KIN2 PIX14 At2g02800 T20F6.6
Bo2g055170,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.5),LRK10L-2.5 At1g66910 T4O24.8
Bo2g055400,Ribulose bisphosphate carboxylase small chain 1B chloroplastic (RuBisCO small subunit 1B) (EC 4.1.1.39),RBCS-1B ATS1B At5g38430 MXI10.15
Bo2g057940,Transcription factor ORG2 (Basic helix-loop-helix protein 38) (AtbHLH38) (bHLH 38) (OBP3-responsive gene 2) (Transcription factor EN 8) (bHLH transcription factor bHLH038),ORG2 BHLH38 EN8 At3g56970 F24I3.50
Bo2g061060,Protein NRT1/ PTR FAMILY 3.1 (AtNPF3.1),NPF3.1 NITR At1g68570 F24J5.19
Bo2g061110,ATP-dependent Clp protease adapter protein CLPS1 chloroplastic,CPLS1 CLPT At1g68660 F24J5.10 F24J5.4
Bo2g062650,Floral homeotic protein APETALA 1 (BcpAP1) (Agamous-like MADS-box protein AP1),AP1
Bo2g063110,DNA-directed RNA polymerase II subunit 4 (15.9 kDa subunit of RNA polymerase II) (DNA-directed RNA polymerase II subunit D),NRPB4 RPB15.9 RPB4 At5g09920 MYH9.13
Bo2g067990,Cyclin-D1-1 (Cyclin-delta-1) (Cyclin-d1) (G1/S-specific cyclin-D1-1) (CycD1;1),CYCD1-1 CYCD1 At1g70210 F20P5.7
Bo2g068060,Probable alphaalpha-trehalose-phosphate synthase [UDP-forming] 8 (EC 2.4.1.15) (Trehalose-6-phosphate synthase 8) (AtTPS8),TPS8 TPS2 TPSC At1g70290 F17O7.18
Bo2g068090,Potassium transporter 6 (AtHAK6) (AtPOT6),POT6 HAK6 KUP6 At1g70300 F17O7.17
Bo2g069590,MLP-like protein 28,MLP28 At1g70830 F15H11.8
Bo2g069600,MLP-like protein 28,MLP28 At1g70830 F15H11.8
Bo2g069610,MLP-like protein 31,MLP31 At1g70840 F15H11.9
Bo2g075080,Bifunctional enolase 2/transcriptional activator (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2) (LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1),ENO2 LOS2 At2g36530 F1O11.16
Bo2g075270,Isopentenyl-diphosphate Delta-isomerase II chloroplastic (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase II) (IPP isomerase II),IPP2 At3g02780 F13E7.28
Bo2g075620,Cysteine protease inhibitor WSCP (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP),WSCP At1g72290 T9N14.19
Bo2g076750,Protein TIFY 11B (Jasmonate ZIM domain-containing protein 6),TIFY11B JAZ6 At1g72450 T10D10.8
Bo2g080680,Alpha-dioxygenase 2 (Alpha DOX2) (EC 1.14.99.-) (Fatty acid dioxygenase AlphaDOX2),DOX2 DIOX2 At1g73680 F25P22.10
Bo2g080870,Protein STRICTOSIDINE SYNTHASE-LIKE 12 (AtSSL12) (EC 4.3.3.2) (Strictosidine synthase 1) (SS-1) (Strictosidine synthase 13) (AtSS13),SSL12 SS1 SS13 At1g74020 F2P9.11
Bo2g080950,Acyl-CoA-binding domain-containing protein 4 (Acyl-CoA binding protein 4),ACBP4 At3g05420 F22F7.13
Bo2g082270,Transcription factor MYB96 (Myb-related protein 96) (AtMYB96),MYB96 MYBCOV1 At5g62470 K19B1.8
Bo2g082300,Protein IQ-DOMAIN 31,IQD31 At1g74690 F1M20.37 F25A4.33
Bo2g083760,bZIP transcription factor 44 (AtbZIP44),BZIP44 At1g75390 F1B16.8
Bo2g086620,Thioredoxin-like protein CDSP32 chloroplastic (Chloroplastic drought-induced stress protein of 32 KDa) (AtCDSP32),CDSP32 At1g76080 T23E18.2
Bo2g088860,UPF0725 protein At4g29550,At4g29550 T16L4.60
Bo2g091240,Trihelix transcription factor GT-2 (Trihelix DNA-binding protein GT-2),GT-2 At1g76890 F7O12.6
Bo2g092530,Caffeoylshikimate esterase (EC 3.1.1.-) (Lysophospholipase 2) (LysoPL2),CSE At1g52760 F14G24.3
Bo2g092570,Protein disulfide isomerase-like 1-2 (AtPDIL1-2) (EC 5.3.4.1) (Protein disulfide-isomerase 2) (PDI 2) (Protein disulfide-isomerase 6) (AtPDI6),PDIL1-2 PDI6 At1g77510 T5M16.10
Bo2g092580,Indole glucosinolate O-methyltransferase 1 (EC 2.1.1.-),IGMT1 At1g21100 T22I11.7
Bo2g092800,Auxin transporter-like protein 3 (AUX1-like protein 3),LAX3 At1g77690 T32E8.2
